"Test environment","Index","Hierarchy number","Level 1","Level 2","Level 3","Level 4","Open interface","Normal values","Normal operations","Normal results","Boundary values","Abnormal values","Abnormal operations","Exception results","Tips","Buttons","Shortcuts","Menu","Response time","Memory occupied","Verifier","Modify time","Description"
win,25,1.4.5,,,Convert Markdown To Html in Batch,,,,,,,,,,,,,,,,,,,
win,26,1.4.6,,,Convert Markdown To Text in Batch,,,,,,,,,,,,,,,,,,,
win,27,1.4.7,,,Convert Markdown To PDF in Batch,,,,,,,,,,,,,,,,,,,
win,28,1.5,,JSON,,,,,,,,,,,,,,,,,,,,
win,29,1.5.1,,,Edit JSON,,,,,,,,,,,,,,,,,,,
win,30,1.5.2,,,Make Typesetting of JSON Files in Batch,,,,,,,,,,,,,,,,,,,
win,31,1.6,,XML,,,,,,,,,,,,,,,,,,,,
win,32,1.6.1,,,Edit XML,,,,,,,,,,,,,,,,,,,
win,33,1.6.2,,,Make Typesetting of XML Files in Batch,,,,,,,,,,,,,,,,,,,
win,34,1.7,,Html,,,,,,,,,,,,,,,,,,,,
win,35,1.7.1,,,Edit Html,,,,,,,,,,,,,,,,,,,
win,36,1.7.2,,,Find String In Web Page,,,,,,,,,,,,,,,,,,,
win,37,1.7.3,,,Find Elements in Web Page,,,,,,,,,,,,,,,,,,,
win,38,1.7.4,,,Snap Html,,,,,,,,,,,,,,,,,,,
win,39,1.7.5,,,Extract tables data in html in Batch,,,,,,,,,,,,,,,,,,,
win,40,1.7.7,,,Make Typesetting of Html Files in Batch,,,,,,,,,,,,,,,,,,,
win,41,1.7.8,,,Convert Html To Markdown in Batch,,,,,,,,,,,,,,,,,,,
win,42,1.7.9,,,Convert Html To Text in Batch,,,,,,,,,,,,,,,,,,,
win,43,1.7.10,,,Convert Html To PDF in Batch,,,,,,,,,,,,,,,,,,,
win,44,1.7.11,,,Set charset of html files in Batch,,,,,,,,,,,,,,,,,,,
win,45,1.7.12,,,Set style of html files in Batch,,,,,,,,,,,,,,,,,,,
win,46,1.7.13,,,Set http-equiv of html files in Batch,,,,,,,,,,,,,,,,,,,
win,47,1.7.15,,,Merge Html Files As One Html File,,,,,,,,,,,,,,,,,,,
win,48,1.7.16,,,Merge Html Files As One Markdown File,,,,,,,,,,,,,,,,,,,
win,49,1.7.17,,,Merge Html Files As One PDF File,,,,,,,,,,,,,,,,,,,
win,50,1.7.18,,,Merge Html Files As One Text File,,,,,,,,,,,,,,,,,,,
win,51,1.7.19,,,Generate frameset of files,,,,,,,,,,,,,,,,,,,
win,52,1.8,,Texts,,,,,,,,,,,,,,,,,,,,
win,53,1.8.1,,,Edit Text,,,,,,,,,,,,,,,,,,,
win,54,1.8.2,,,Find string in text files in Batch,,,,,,,,,,,,,,,,,,,
win,55,1.8.3,,,Replace string in text files in Batch,,,,,,,,,,,,,,,,,,,
win,56,1.8.4,,,Filter Lines in Text Files in Batch,,,,,,,,,,,,,,,,,,,
win,57,1.8.5,,,Convert/Split Text Files in Batch,,,,,,,,,,,,,,,,,,,
win,58,1.8.6,,,Merge Text Files,,,,,,,,,,,,,,,,,,,
win,59,1.8.7,,,Convert Text To Html in Batch,,,,,,,,,,,,,,,,,,,
win,60,1.8.8,,,Convert Text To PDF in Batch,,,,,,,,,,,,,,,,,,,
win,61,1.9,,Microsoft Document Formats,,,,,,,,,,,,,,,,,,,,
win,62,1.9.1,,,View Word - Html/Text Mode,,,,,,,,,,,,,,,,,,,
win,63,1.9.2,,,Convert Word File To Html in Batch,,,,,,,,,,,,,,,,,,,
win,64,1.9.3,,,Convert Word To PDF in Batch,,,,,,,,,,,,,,,,,,,
win,65,1.9.5,,,View PPT - Image Mode,,,,,,,,,,,,,,,,,,,
win,66,1.9.6,,,Convert PPT to Images in Batch,,,,,,,,,,,,,,,,,,,
win,67,1.9.7,,,Convert PPT to PDF in Batch,,,,,,,,,,,,,,,,,,,
win,68,1.9.8,,,Extract Objects in PPT in Batch,,,,,,,,,,,,,,,,,,,
win,69,1.9.9,,,Split PPT Files in Batch,,,,,,,,,,,,,,,,,,,
win,70,1.9.10,,,Merge pptx Files,,,,,,,,,,,,,,,,,,,
win,71,1.9.11,,,Combine Images As PPT,,,,,,,,,,,,,,,,,,,
win,72,1.9.12,,,Play PPT,,,,,,,,,,,,,,,,,,,
win,73,1.9.14,,,Extract Texts From Excel/Word/PowerPoint/Publisher/Visio in Batch,,,,,,,,,,,,,,,,,,,
win,74,1.10,,Bytes,,,,,,,,,,,,,,,,,,,,
win,75,1.10.1,,,Edit Bytes,,,,,,,,,,,,,,,,,,,
win,76,1.10.2,,,Find bytes in files in Batch,,,,,,,,,,,,,,,,,,,
win,77,1.12,,Text in MyBox Clipboard,,,,,,,,,,,,,,,,,,,,
win,78,1.13,,Text in System Clipboard,,,,,,,,,,,,,,,,,,,,
win,79,2,Image,,,,,,,,,,,,,,,,,,,,,
win,80,2.1,,Edit image,,,,,,,,,,,,,,,,,,,,
win,81,2.2,,Image Manufacture,,,,,,,,,,,,,,,,,,,,
win,82,2.2.1,,,Analyse Image,,,,,,,,,,,,,,,,,,,
win,83,2.2.2,,,Character Recognition in Image,,,,,,,,,,,,,,,,,,,
win,84,2.2.4,,,Repeat/Tile Image,,,,,,,,,,,,,,,,,,,
win,85,2.2.5,,,Splice Images,,,,,,,,,,,,,,,,,,,
win,86,2.2.6,,,Split Image,,,,,,,,,,,,,,,,,,,
win,87,2.2.7,,,Sample/crop Image,,,,,,,,,,,,,,,,,,,
win,88,2.2.9,,,Play Images List,,,,,,,,,,,,,,,,,,,
win,89,2.2.10,,,Edit Images List,,,,,,,,,,,,,,,,,,,
win,90,2.2.11,,,Browse Images,,,,,,,,,,,,,,,,,,,
win,91,2.3,,Image Manufacture - Batch,,,,,,,,,,,,,,,,,,,,
win,92,2.3.1,,,Color,,,,,,,,,,,,,,,,,,,
win,93,2.3.1.1,,,,Replace color,,,,,,,,,,,,,,,,,,
win,94,2.3.1.2,,,,Blend color,,,,,,,,,,,,,,,,,,
win,95,2.3.1.3,,,,Adjust color,,,,,,,,,,,,,,,,,,
win,96,2.3.1.4,,,,Black or white,,,,,,,,,,,,,,,,,,
win,97,2.3.1.5,,,,Grey,,,,,,,,,,,,,,,,,,
win,98,2.3.1.6,,,,Sepia,,,,,,,,,,,,,,,,,,
win,99,2.3.1.7,,,,Reduce colors,,,,,,,,,,,,,,,,,,
win,100,2.3.1.8,,,,Thresholding,,,,,,,,,,,,,,,,,,
win,101,2.3.2,,,Pixels,,,,,,,,,,,,,,,,,,,
win,102,2.3.2.1,,,,Mosaic,,,,,,,,,,,,,,,,,,
win,103,2.3.2.2,,,,Frosted glass,,,,,,,,,,,,,,,,,,
win,104,2.3.2.3,,,,Shadow,,,,,,,,,,,,,,,,,,
win,105,2.3.2.4,,,,Smooth,,,,,,,,,,,,,,,,,,
win,106,2.3.2.5,,,,Sharpen,,,,,,,,,,,,,,,,,,
win,107,2.3.2.6,,,,Contrast,,,,,,,,,,,,,,,,,,
win,108,2.3.2.7,,,,Edge detection,,,,,,,,,,,,,,,,,,
win,109,2.3.2.8,,,,Emboss,,,,,,,,,,,,,,,,,,
win,110,2.3.2.9,,,,Convolution,,,,,,,,,,,,,,,,,,
win,111,2.3.3,,,Modify,,,,,,,,,,,,,,,,,,,
win,112,2.3.3.1,,,,Size,,,,,,,,,,,,,,,,,,
win,113,2.3.3.2,,,,Margins,,,,,,,,,,,,,,,,,,
win,114,2.3.3.3,,,,Crop,,,,,,,,,,,,,,,,,,
win,115,2.3.3.4,,,,Round,,,,,,,,,,,,,,,,,,
win,116,2.3.3.5,,,,Rotate,,,,,,,,,,,,,,,,,,
win,117,2.3.3.6,,,,Mirror,,,,,,,,,,,,,,,,,,
win,118,2.3.3.7,,,,Shear,,,,,,,,,,,,,,,,,,
win,119,2.3.3.8,,,,Paste,,,,,,,,,,,,,,,,,,
win,120,2.3.3.9,,,,Text,,,,,,,,,,,,,,,,,,
win,121,2.3.5,,,Formats Conversion,,,,,,,,,,,,,,,,,,,
win,122,2.3.6,,,Extract alpha channel from image,,,,,,,,,,,,,,,,,,,
win,123,2.3.7,,,Add alpha channel from image,,,,,,,,,,,,,,,,,,,
win,124,2.3.8,,,Convert image to SVG in Batch,,,,,,,,,,,,,,,,,,,
win,125,2.3.9,,,Character Recognition in Image - Batch,,,,,,,,,,,,,,,,,,,
win,126,2.4,,Scalable Vector Graphics(SVG),,,,,,,,,,,,,,,,,,,,
win,127,2.4.1,,,Edit SVG(Scalable Vector Graphics),,,,,,,,,,,,,,,,,,,
win,128,2.4.2,,,Make Typesetting of SVG Files in Batch,,,,,,,,,,,,,,,,,,,
win,129,2.4.3,,,Convert SVG to Image in Batch,,,,,,,,,,,,,,,,,,,
win,130,2.4.4,,,Convert SVG to PDF in Batch,,,,,,,,,,,,,,,,,,,
win,131,2.4.5,,,Convert image to SVG in Batch,,,,,,,,,,,,,,,,,,,
win,132,2.5,,Image Scope,,,,,,,,,,,,,,,,,,,,
win,133,2.6,,Image Options,,,,,,,,,,,,,,,,,,,,
win,134,2.8,,Manage Colors,,,,,,,,,,,,,,,,,,,,
win,135,2.9,,Query Color,,,,,,,,,,,,,,,,,,,,
win,136,2.10,,Blend Colors,,,,,,,,,,,,,,,,,,,,
win,137,2.11,,Color space,,,,,,,,,,,,,,,,,,,,
win,138,2.11.1,,,Draw Chromaticity Diagram,,,,,,,,,,,,,,,,,,,
win,139,2.11.2,,,Edit ICC profile,,,,,,,,,,,,,,,,,,,
win,140,2.11.3,,,RGB Color Spaces,,,,,,,,,,,,,,,,,,,
win,141,2.11.4,,,LinearRGB-XYZ Conversion Matrix,,,,,,,,,,,,,,,,,,,
win,142,2.11.5,,,LinearRGB-LinearRGB Conversion Matrix,,,,,,,,,,,,,,,,,,,
win,143,2.11.6,,,Illuminants,,,,,,,,,,,,,,,,,,,
win,144,2.11.7,,,Chromatic Adaptation Matrix,,,,,,,,,,,,,,,,,,,
win,145,2.13,,Images in MyBox Clipboard,,,,,,,,,,,,,,,,,,,,
win,146,2.14,,Images in System Clipboard,,,,,,,,,,,,,,,,,,,,
win,147,2.15,,Miscellaneous,,,,,,,,,,,,,,,,,,,,
win,148,2.15.1,,,Image Base64,,,,,,,,,,,,,,,,,,,
win,149,2.15.2,,,Convolution Kernel Manager,,,,,,,,,,,,,,,,,,,
win,150,2.15.3,,,Pixels Calculator,,,,,,,,,,,,,,,,,,,
win,151,3,File,,,,,,,,,,,,,,,,,,,,,
win,152,3.1,,Arrange Files,,,,,,,,,,,,,,,,,,,,
win,153,3.2,,Synchronize Directory,,,,,,,,,,,,,,,,,,,,
win,154,3.4,,Archive/Compress Files,,,,,,,,,,,,,,,,,,,,
win,155,3.4.1,,,Decompress/Unarchive Files,,,,,,,,,,,,,,,,,,,
win,156,3.4.2,,,Decompress/Unarchive Files in Batch,,,,,,,,,,,,,,,,,,,
win,157,3.4.3,,,Archive/Compress Files,,,,,,,,,,,,,,,,,,,
win,158,3.4.4,,,Compress Files in Batch,,,,,,,,,,,,,,,,,,,
win,159,3.6,,Cut File in Batch,,,,,,,,,,,,,,,,,,,,
win,160,3.7,,Merge Files,,,,,,,,,,,,,,,,,,,,
win,161,3.9,,Find Files,,,,,,,,,,,,,,,,,,,,
win,162,3.10,,Check Redundant Files,,,,,,,,,,,,,,,,,,,,
win,163,3.11,,Compare Files,,,,,,,,,,,,,,,,,,,,
win,164,3.13,,Rename Files in Batch,,,,,,,,,,,,,,,,,,,,
win,165,3.14,,Copy Files/Directories in Batch,,,,,,,,,,,,,,,,,,,,
win,166,3.15,,Move Files/Directories in Batch,,,,,,,,,,,,,,,,,,,,
win,167,3.17,,Delete,,,,,,,,,,,,,,,,,,,,
win,168,3.17.1,,,Delete Files Under Java IO Temporary Path,,,,,,,,,,,,,,,,,,,
win,169,3.17.2,,,Delete Empty Directories in Batch,,,,,,,,,,,,,,,,,,,
win,170,3.17.3,,,Delete Files/Directories in Batch,,,,,,,,,,,,,,,,,,,
win,171,3.17.4,,,Delete Nested Directories in Batch,,,,,,,,,,,,,,,,,,,
win,172,4,Network,,,,,,,,,,,,,,,,,,,,,
win,173,4.1,,Web Browser,,,,,,,,,,,,,,,,,,,,
win,174,4.2,,Web Favorites,,,,,,,,,,,,,,,,,,,,
win,175,4.3,,Web Histories,,,,,,,,,,,,,,,,,,,,
win,176,4.5,,Manage Remote Path(SFTP),,,,,,,,,,,,,,,,,,,,
win,177,4.6,,Synchronize Remote Directory from Local,,,,,,,,,,,,,,,,,,,,
win,178,4.8,,Query network address,,,,,,,,,,,,,,,,,,,,
win,179,4.9,,Query DNS in batch,,,,,,,,,,,,,,,,,,,,
win,180,4.10,,Encode/Decode URL,,,,,,,,,,,,,,,,,,,,
win,181,4.11,,Security Certificates,,,,,,,,,,,,,,,,,,,,
win,182,4.13,,Download Htmls,,,,,,,,,,,,,,,,,,,,
win,183,4.14,,Snap Weibo,,,,,,,,,,,,,,,,,,,,
win,184,5,Data,,,,,,,,,,,,,,,,,,,,,
win,185,5.1,,Manufacture Data,,,,,,,,,,,,,,,,,,,,
win,186,5.2,,Manage Data,,,,,,,,,,,,,,,,,,,,
win,187,5.4,,Data File,,,,,,,,,,,,,,,,,,,,
win,188,5.4.1,,,Convert/Split CSV Files in Batch,,,,,,,,,,,,,,,,,,,
win,189,5.4.2,,,Merge CSV Files,,,,,,,,,,,,,,,,,,,
win,190,5.4.4,,,Convert/Split Excel Files in Batch,,,,,,,,,,,,,,,,,,,
win,191,5.4.5,,,Merge Excel Files,,,,,,,,,,,,,,,,,,,
win,192,5.4.7,,,Convert/Split Text Data Files in Batch,,,,,,,,,,,,,,,,,,,
win,193,5.4.8,,,Merge Text Data Files,,,,,,,,,,,,,,,,,,,
win,194,5.5,,Matrix,,,,,,,,,,,,,,,,,,,,
win,195,5.5.1,,,Manage Matrices,,,,,,,,,,,,,,,,,,,
win,196,5.5.2,,,Matrix Unary Calculation,,,,,,,,,,,,,,,,,,,
win,197,5.5.3,,,Matrices Binary Calculation,,,,,,,,,,,,,,,,,,,
win,198,5.6,,Database,,,,,,,,,,,,,,,,,,,,
win,199,5.6.1,,,Database Table,,,,,,,,,,,,,,,,,,,
win,200,5.6.2,,,Database SQL,,,,,,,,,,,,,,,,,,,
win,201,5.6.3,,,Table definition,,,,,,,,,,,,,,,,,,,
win,202,5.8,,Splice Data,,,,,,,,,,,,,,,,,,,,
win,203,5.9,,Data column,,,,,,,,,,,,,,,,,,,,
win,204,5.10,,Row expression,,,,,,,,,,,,,,,,,,,,
win,205,5.11,,Data in System Clipboard,,,,,,,,,,,,,,,,,,,,
win,206,5.12,,Data in MyBox Clipboard,,,,,,,,,,,,,,,,,,,,
win,207,5.14,,Script and Experssion,,,,,,,,,,,,,,,,,,,,
win,208,5.14.1,,,JavaScript,,,,,,,,,,,,,,,,,,,
win,209,5.14.2,,,JShell(Java interactive coding tool),,,,,,,,,,,,,,,,,,,
win,210,5.14.3,,,JEXL(Java Expression Language),,,,,,,,,,,,,,,,,,,
win,211,5.15,,Math Function,,,,,,,,,,,,,,,,,,,,
win,212,5.17,,Location,,,,,,,,,,,,,,,,,,,,
win,213,5.17.1,,,Geography Code,,,,,,,,,,,,,,,,,,,
win,214,5.17.2,,,Location in Map,,,,,,,,,,,,,,,,,,,
win,215,5.17.3,,,Convert coordinate,,,,,,,,,,,,,,,,,,,
win,216,5.18,,Miscellaneous,,,,,,,,,,,,,,,,,,,,
win,217,5.18.1,,,Create Barcode,,,,,,,,,,,,,,,,,,,
win,218,5.18.2,,,Decode Barcode,,,,,,,,,,,,,,,,,,,
win,219,5.18.4,,,Message Digest,,,,,,,,,,,,,,,,,,,
win,220,5.18.5,,,Encode/Decode Base64,,,,,,,,,,,,,,,,,,,
win,221,5.18.7,,,Extract TTF from TTC,,,,,,,,,,,,,,,,,,,
win,222,6,Media,,,,,,,,,,,,,,,,,,,,,
win,223,6.1,,Play Video/Audio,,,,,,,,,,,,,,,,,,,,
win,224,6.2,,Manage media lists,,,,,,,,,,,,,,,,,,,,
win,225,6.4,,FFmpeg: Screen Recorder,,,,,,,,,,,,,,,,,,,,
win,226,6.5,,FFmpeg: Convert Medias in Batch,,,,,,,,,,,,,,,,,,,,
win,227,6.5.1,,,FFmpeg: Convert Medias in Batch - Files/Directories,,,,,,,,,,,,,,,,,,,
win,228,6.5.2,,,FFmpeg: Convert Medias in Batch - Streams and Medias information,,,,,,,,,,,,,,,,,,,
win,229,6.6,,FFmpeg: Merge Images and Audios as Video,,,,,,,,,,,,,,,,,,,,
win,230,6.6.1,,,FFmpeg: Merge Images and audios as Video - Files/Directories,,,,,,,,,,,,,,,,,,,
win,231,6.6.2,,,FFmpeg: Merge Images and audios as Video - Images information,,,,,,,,,,,,,,,,,,,
win,232,6.7,,FFmpeg: Probe Media Information,,,,,,,,,,,,,,,,,,,,
win,233,6.8,,FFmpeg information,,,,,,,,,,,,,,,,,,,,
win,234,6.10,,Game: Elimniation,,,,,,,,,,,,,,,,,,,,
win,235,6.11,,Game: Mine,,,,,,,,,,,,,,,,,,,,
win,236,8,Main page(F8),,,,,,,,,,,,,,,,,,,,,
win,237,9,Development,,,,,,,,,,,,,,,,,,,,,
win,238,9.1,,MyBox Properties,,,,,,,,,,,,,,,,,,,,
win,239,9.2,,MyBox Logs,,,,,,,,,,,,,,,,,,,,
win,240,9.4,,Run System Command,,,,,,,,,,,,,,,,,,,,
win,241,9.5,,JConsole(Java Monitoring and Management Console),,,,,,,,,,,,,,,,,,,,
win,242,9.7,,Macro Commands,,,,,,,,,,,,,,,,,,,,
win,243,9.8,,MyBox Internal Tables,,,,,,,,,,,,,,,,,,,,
win,244,9.9,,Names of all tables,,,,,,,,,,,,,,,,,,,,
win,245,9.11,,Manage Languages,,,,,,,,,,,,,,,,,,,,
win,246,9.12,,Make Icons,,,,,,,,,,,,,,,,,,,,
win,247,9.13,,Make Documents,,,,,,,,,,,,,,,,,,,,
win,248,9.14,,Automatic Testing,,,,,,,,,,,,,,,,,,,,
win,249,9.15,,MyBox base functions' verification list,,,,,,,,,,,,,,,,,,,,
