# 总字数共1,011,623,817字
# 制作： https://github.com/studyzy/imewlconverter/blob/master/参考/6763字频表(基数10亿).xls
"汉字","排名","频次","频率","累计频率"
腊,3205,7155,0.001%,99.543%
昼,3206,7148,0.001%,99.544%
澳,3207,7148,0.001%,99.545%
兑,3208,7113,0.001%,99.545%
诊,3209,7109,0.001%,99.546%
缜,3210,7100,0.001%,99.547%
腑,3211,7095,0.001%,99.547%
敷,3212,7094,0.001%,99.548%
晦,3213,7090,0.001%,99.549%
诵,3214,7084,0.001%,99.550%
邃,3215,7073,0.001%,99.550%
獠,3216,7069,0.001%,99.551%
鞑,3217,7066,0.001%,99.552%
辑,3218,7064,0.001%,99.552%
蜡,3219,7061,0.001%,99.553%
庇,3220,7060,0.001%,99.554%
滕,3221,7050,0.001%,99.554%
憎,3222,7038,0.001%,99.555%
悻,3223,7032,0.001%,99.556%
嗨,3224,6998,0.001%,99.557%
慷,3225,6975,0.001%,99.557%
荀,3226,6967,0.001%,99.558%
咄,3227,6933,0.001%,99.559%
寓,3228,6919,0.001%,99.559%
筝,3229,6913,0.001%,99.560%
逾,3230,6899,0.001%,99.561%
昕,3231,6898,0.001%,99.561%
藩,3232,6892,0.001%,99.562%
啤,3233,6861,0.001%,99.563%
缸,3234,6846,0.001%,99.563%
忡,3235,6844,0.001%,99.564%
璀,3236,6841,0.001%,99.565%
噪,3237,6837,0.001%,99.565%
璨,3238,6819,0.001%,99.566%
祢,3239,6817,0.001%,99.567%
幡,3240,6810,0.001%,99.567%
茉,3241,6796,0.001%,99.568%
粥,3242,6784,0.001%,99.569%
悴,3243,6751,0.001%,99.569%
曙,3244,6742,0.001%,99.570%
聿,3245,6729,0.001%,99.571%
烨,3246,6728,0.001%,99.571%
靶,3247,6720,0.001%,99.572%
颔,3248,6714,0.001%,99.573%
吒,3249,6705,0.001%,99.573%
绊,3250,6701,0.001%,99.574%
憔,3251,6685,0.001%,99.575%
募,3252,6668,0.001%,99.575%
洽,3253,6665,0.001%,99.576%
咏,3254,6638,0.001%,99.577%
框,3255,6631,0.001%,99.577%
酋,3256,6621,0.001%,99.578%
谬,3257,6614,0.001%,99.579%
萄,3258,6589,0.001%,99.579%
眺,3259,6587,0.001%,99.580%
钞,3260,6575,0.001%,99.581%
溟,3261,6574,0.001%,99.581%
痹,3262,6574,0.001%,99.582%
坪,3263,6572,0.001%,99.583%
挚,3264,6564,0.001%,99.583%
茄,3265,6552,0.001%,99.584%
凿,3266,6540,0.001%,99.585%
恬,3267,6531,0.001%,99.585%
邹,3268,6497,0.001%,99.586%
檀,3269,6491,0.001%,99.586%
褐,3270,6484,0.001%,99.587%
揖,3271,6466,0.001%,99.588%
冽,3272,6450,0.001%,99.588%
崽,3273,6438,0.001%,99.589%
蟹,3274,6437,0.001%,99.590%
涎,3275,6436,0.001%,99.590%
胯,3276,6407,0.001%,99.591%
瘩,3277,6390,0.001%,99.592%
抡,3278,6389,0.001%,99.592%
铛,3279,6381,0.001%,99.593%
猥,3280,6365,0.001%,99.593%
菇,3281,6362,0.001%,99.594%
疙,3282,6361,0.001%,99.595%
斟,3283,6346,0.001%,99.595%
塘,3284,6340,0.001%,99.596%
徊,3285,6340,0.001%,99.597%
函,3286,6334,0.001%,99.597%
勺,3287,6334,0.001%,99.598%
褪,3288,6315,0.001%,99.598%
遏,3289,6309,0.001%,99.599%
曦,3290,6278,0.001%,99.600%
睫,3291,6265,0.001%,99.600%
庚,3292,6245,0.001%,99.601%
蒲,3293,6234,0.001%,99.602%
芽,3294,6230,0.001%,99.602%
荫,3295,6220,0.001%,99.603%
徘,3296,6212,0.001%,99.603%
裘,3297,6192,0.001%,99.604%
槽,3298,6190,0.001%,99.605%
鬟,3299,6188,0.001%,99.605%
嘭,3300,6187,0.001%,99.606%
睽,3301,6179,0.001%,99.606%
煎,3302,6154,0.001%,99.607%
廓,3303,6144,0.001%,99.608%
稿,3304,6134,0.001%,99.608%
暄,3305,6091,0.001%,99.609%
滨,3306,6081,0.001%,99.609%
嗒,3307,6074,0.001%,99.610%
缰,3308,6074,0.001%,99.611%
谕,3309,6061,0.001%,99.611%
彰,3310,6043,0.001%,99.612%
蛙,3311,6040,0.001%,99.612%
窿,3312,6037,0.001%,99.613%
锵,3313,6034,0.001%,99.614%
旬,3314,6032,0.001%,99.614%
珂,3315,6030,0.001%,99.615%
猝,3316,6014,0.001%,99.615%
掺,3317,6012,0.001%,99.616%
嘈,3318,6010,0.001%,99.617%
缈,3319,6006,0.001%,99.617%
蟾,3320,5999,0.001%,99.618%
扈,3321,5991,0.001%,99.618%
耕,3322,5973,0.001%,99.619%
攸,3323,5966,0.001%,99.620%
嵋,3324,5964,0.001%,99.620%
萤,3325,5963,0.001%,99.621%
蜴,3326,5954,0.001%,99.621%
栅,3327,5947,0.001%,99.622%
曳,3328,5938,0.001%,99.623%
瑚,3329,5938,0.001%,99.623%
翱,3330,5936,0.001%,99.624%
攒,3331,5932,0.001%,99.624%
蜷,3332,5926,0.001%,99.625%
崛,3333,5917,0.001%,99.625%
惬,3334,5903,0.001%,99.626%
秽,3335,5891,0.001%,99.627%
芭,3336,5878,0.001%,99.627%
袱,3337,5864,0.001%,99.628%
缥,3338,5859,0.001%,99.628%
魇,3339,5842,0.001%,99.629%
磅,3340,5835,0.001%,99.630%
庐,3341,5825,0.001%,99.630%
鸽,3342,5804,0.001%,99.631%
礁,3343,5793,0.001%,99.631%
饵,3344,5790,0.001%,99.632%
撅,3345,5785,0.001%,99.632%
缔,3346,5774,0.001%,99.633%
晏,3347,5762,0.001%,99.634%
钮,3348,5754,0.001%,99.634%
琅,3349,5748,0.001%,99.635%
蔼,3350,5735,0.001%,99.635%
苛,3351,5728,0.001%,99.636%
饷,3352,5710,0.001%,99.636%
葵,3353,5686,0.001%,99.637%
阙,3354,5673,0.001%,99.637%
掳,3355,5669,0.001%,99.638%
晟,3356,5667,0.001%,99.639%
佗,3357,5660,0.001%,99.639%
稠,3358,5635,0.001%,99.640%
懵,3359,5617,0.001%,99.640%
嗣,3360,5612,0.001%,99.641%
韬,3361,5602,0.001%,99.641%
肴,3362,5601,0.001%,99.642%
渎,3363,5582,0.001%,99.642%
珀,3364,5577,0.001%,99.643%
琥,3365,5570,0.001%,99.644%
娉,3366,5566,0.001%,99.644%
咫,3367,5551,0.001%,99.645%
咻,3368,5551,0.001%,99.645%
恃,3369,5548,0.001%,99.646%
檐,3370,5543,0.001%,99.646%
怦,3371,5530,0.001%,99.647%
浦,3372,5529,0.001%,99.647%
颁,3373,5529,0.001%,99.648%
伶,3374,5521,0.001%,99.649%
祯,3375,5512,0.001%,99.649%
贷,3376,5511,0.001%,99.650%
茬,3377,5502,0.001%,99.650%
吝,3378,5484,0.001%,99.651%
扼,3379,5476,0.001%,99.651%
羌,3380,5462,0.001%,99.652%
瑭,3381,5448,0.001%,99.652%
隧,3382,5447,0.001%,99.653%
蘑,3383,5443,0.001%,99.653%
趾,3384,5438,0.001%,99.654%
缀,3385,5408,0.001%,99.654%
簌,3386,5403,0.001%,99.655%
捺,3387,5402,0.001%,99.656%
芜,3388,5401,0.001%,99.656%
殃,3389,5398,0.001%,99.657%
滢,3390,5386,0.001%,99.657%
唠,3391,5380,0.001%,99.658%
噼,3392,5378,0.001%,99.658%
矫,3393,5356,0.001%,99.659%
邮,3394,5354,0.001%,99.659%
掂,3395,5337,0.001%,99.660%
烽,3396,5332,0.001%,99.660%
恺,3397,5327,0.001%,99.661%
竿,3398,5323,0.001%,99.661%
绒,3399,5316,0.001%,99.662%
嫡,3400,5313,0.001%,99.662%
辙,3401,5303,0.001%,99.663%
啐,3402,5300,0.001%,99.663%
煽,3403,5299,0.001%,99.664%
糙,3404,5298,0.001%,99.665%
戎,3405,5290,0.001%,99.665%
禾,3406,5287,0.001%,99.666%
畴,3407,5281,0.001%,99.666%
枷,3408,5278,0.001%,99.667%
怅,3409,5273,0.001%,99.667%
籁,3410,5270,0.001%,99.668%
瘪,3411,5269,0.001%,99.668%
吆,3412,5238,0.001%,99.669%
甬,3413,5237,0.001%,99.669%
邢,3414,5232,0.001%,99.670%
栩,3415,5224,0.001%,99.670%
猖,3416,5223,0.001%,99.671%
叼,3417,5213,0.001%,99.671%
攘,3418,5191,0.001%,99.672%
芥,3419,5185,0.001%,99.672%
壕,3420,5166,0.001%,99.673%
昵,3421,5162,0.001%,99.673%
漱,3422,5159,0.001%,99.674%
紊,3423,5147,0.001%,99.674%
汀,3424,5140,0.001%,99.675%
酣,3425,5138,0.001%,99.675%
寐,3426,5110,0.001%,99.676%
锣,3427,5106,0.001%,99.676%
跷,3428,5104,0.001%,99.677%
亩,3429,5090,0.001%,99.677%
黏,3430,5089,0.001%,99.678%
舷,3431,5074,0.001%,99.678%
侈,3432,5069,0.001%,99.679%
鳄,3433,5069,0.001%,99.679%
靓,3434,5043,0.000%,99.680%
痊,3435,5039,0.000%,99.680%
溺,3436,5036,0.000%,99.681%
篝,3437,5034,0.000%,99.681%
惘,3438,5030,0.000%,99.682%
佼,3439,5027,0.000%,99.682%
娆,3440,5022,0.000%,99.683%
佯,3441,5016,0.000%,99.683%
瑛,3442,5012,0.000%,99.684%
勘,3443,5009,0.000%,99.684%
仕,3444,5003,0.000%,99.685%
舆,3445,4993,0.000%,99.685%
羲,3446,4991,0.000%,99.686%
虬,3447,4978,0.000%,99.686%
捻,3448,4966,0.000%,99.687%
螂,3449,4956,0.000%,99.687%
攥,3450,4954,0.000%,99.688%
蛤,3451,4953,0.000%,99.688%
侏,3452,4939,0.000%,99.689%
媲,3453,4931,0.000%,99.689%
荧,3454,4921,0.000%,99.690%
霏,3455,4914,0.000%,99.690%
氧,3456,4903,0.000%,99.691%
漉,3457,4903,0.000%,99.691%
贬,3458,4901,0.000%,99.692%
巳,3459,4898,0.000%,99.692%
珏,3460,4867,0.000%,99.693%
骁,3461,4862,0.000%,99.693%
萦,3462,4854,0.000%,99.694%
桦,3463,4847,0.000%,99.694%
羿,3464,4828,0.000%,99.695%
迂,3465,4823,0.000%,99.695%
券,3466,4821,0.000%,99.696%
殇,3467,4814,0.000%,99.696%
蜒,3468,4811,0.000%,99.696%
骋,3469,4810,0.000%,99.697%
浙,3470,4804,0.000%,99.697%
蹂,3471,4800,0.000%,99.698%
煦,3472,4792,0.000%,99.698%
臧,3473,4784,0.000%,99.699%
缎,3474,4771,0.000%,99.699%
蔷,3475,4767,0.000%,99.700%
煤,3476,4757,0.000%,99.700%
雏,3477,4757,0.000%,99.701%
孰,3478,4751,0.000%,99.701%
膏,3479,4749,0.000%,99.702%
坞,3480,4735,0.000%,99.702%
剌,3481,4731,0.000%,99.703%
忒,3482,4722,0.000%,99.703%
糜,3483,4713,0.000%,99.704%
蓓,3484,4707,0.000%,99.704%
屹,3485,4705,0.000%,99.704%
瞠,3486,4702,0.000%,99.705%
牡,3487,4699,0.000%,99.705%
衮,3488,4695,0.000%,99.706%
哒,3489,4692,0.000%,99.706%
淤,3490,4684,0.000%,99.707%
祁,3491,4670,0.000%,99.707%
札,3492,4659,0.000%,99.708%
躏,3493,4654,0.000%,99.708%
蹊,3494,4640,0.000%,99.709%
胄,3495,4636,0.000%,99.709%
棕,3496,4628,0.000%,99.710%
矜,3497,4621,0.000%,99.710%
毗,3498,4603,0.000%,99.710%
俨,3499,4602,0.000%,99.711%
肮,3500,4595,0.000%,99.711%
酱,3501,4595,0.000%,99.712%
磐,3502,4581,0.000%,99.712%
呱,3503,4567,0.000%,99.713%
臻,3504,4567,0.000%,99.713%
鬓,3505,4561,0.000%,99.714%
筱,3506,4555,0.000%,99.714%
铿,3507,4554,0.000%,99.715%
胴,3508,4549,0.000%,99.715%
雌,3509,4545,0.000%,99.715%
硝,3510,4537,0.000%,99.716%
瀛,3511,4535,0.000%,99.716%
鞍,3512,4532,0.000%,99.717%
喋,3513,4521,0.000%,99.717%
锯,3514,4519,0.000%,99.718%
暑,3515,4517,0.000%,99.718%
沪,3516,4516,0.000%,99.719%
迢,3517,4508,0.000%,99.719%
玺,3518,4504,0.000%,99.719%
拈,3519,4497,0.000%,99.720%
羁,3520,4491,0.000%,99.720%
蜿,3521,4484,0.000%,99.721%
衲,3522,4484,0.000%,99.721%
箍,3523,4481,0.000%,99.722%
赃,3524,4478,0.000%,99.722%
伫,3525,4444,0.000%,99.723%
幺,3526,4438,0.000%,99.723%
剖,3527,4420,0.000%,99.723%
呗,3528,4417,0.000%,99.724%
恤,3529,4415,0.000%,99.724%
茸,3530,4409,0.000%,99.725%
钵,3531,4403,0.000%,99.725%
婧,3532,4399,0.000%,99.726%
贿,3533,4397,0.000%,99.726%
闵,3534,4397,0.000%,99.726%
饕,3535,4388,0.000%,99.727%
驹,3536,4387,0.000%,99.727%
辎,3537,4367,0.000%,99.728%
邑,3538,4365,0.000%,99.728%
巩,3539,4362,0.000%,99.729%
蝗,3540,4360,0.000%,99.729%
崭,3541,4359,0.000%,99.729%
吮,3542,4355,0.000%,99.730%
谴,3543,4349,0.000%,99.730%
躇,3544,4349,0.000%,99.731%
钳,3545,4349,0.000%,99.731%
踌,3546,4348,0.000%,99.732%
蹑,3547,4347,0.000%,99.732%
噎,3548,4343,0.000%,99.732%
俐,3549,4318,0.000%,99.733%
刊,3550,4314,0.000%,99.733%
矗,3551,4298,0.000%,99.734%
湮,3552,4292,0.000%,99.734%
鸠,3553,4274,0.000%,99.735%
亥,3554,4273,0.000%,99.735%
踞,3555,4271,0.000%,99.735%
癫,3556,4268,0.000%,99.736%
薰,3557,4246,0.000%,99.736%
弑,3558,4237,0.000%,99.737%
惦,3559,4230,0.000%,99.737%
渍,3560,4230,0.000%,99.738%
诫,3561,4223,0.000%,99.738%
伎,3562,4222,0.000%,99.738%
岌,3563,4199,0.000%,99.739%
褚,3564,4193,0.000%,99.739%
莞,3565,4192,0.000%,99.740%
谑,3566,4190,0.000%,99.740%
铐,3567,4187,0.000%,99.740%
奠,3568,4185,0.000%,99.741%
赘,3569,4178,0.000%,99.741%
蜈,3570,4176,0.000%,99.742%
诣,3571,4176,0.000%,99.742%
砌,3572,4173,0.000%,99.743%
锈,3573,4171,0.000%,99.743%
桅,3574,4155,0.000%,99.743%
邯,3575,4151,0.000%,99.744%
汴,3576,4142,0.000%,99.744%
旎,3577,4141,0.000%,99.745%
窖,3578,4138,0.000%,99.745%
椒,3579,4135,0.000%,99.745%
鲲,3580,4119,0.000%,99.746%
燎,3581,4118,0.000%,99.746%
诶,3582,4118,0.000%,99.747%
惴,3583,4111,0.000%,99.747%
窦,3584,4099,0.000%,99.747%
逵,3585,4090,0.000%,99.748%
噔,3586,4087,0.000%,99.748%
岱,3587,4081,0.000%,99.749%
飕,3588,4076,0.000%,99.749%
岐,3589,4070,0.000%,99.749%
隘,3590,4070,0.000%,99.750%
辫,3591,4066,0.000%,99.750%
笃,3592,4065,0.000%,99.751%
疮,3593,4062,0.000%,99.751%
酌,3594,4057,0.000%,99.751%
帷,3595,4051,0.000%,99.752%
玮,3596,4051,0.000%,99.752%
筛,3597,4042,0.000%,99.753%
茱,3598,4034,0.000%,99.753%
捋,3599,4029,0.000%,99.753%
牟,3600,4025,0.000%,99.754%
哝,3601,3999,0.000%,99.754%
缇,3602,3982,0.000%,99.755%
鄂,3603,3978,0.000%,99.755%
鸳,3604,3974,0.000%,99.755%
呦,3605,3966,0.000%,99.756%
峦,3606,3966,0.000%,99.756%
瞩,3607,3965,0.000%,99.757%
汩,3608,3964,0.000%,99.757%
蜃,3609,3962,0.000%,99.757%
掣,3610,3960,0.000%,99.758%
嘤,3611,3959,0.000%,99.758%
楮,3612,3958,0.000%,99.759%
餮,3613,3957,0.000%,99.759%
邬,3614,3956,0.000%,99.759%
娄,3615,3951,0.000%,99.760%
瓮,3616,3950,0.000%,99.760%
蟆,3617,3943,0.000%,99.761%
敝,3618,3942,0.000%,99.761%
啷,3619,3941,0.000%,99.761%
匡,3620,3934,0.000%,99.762%
顼,3621,3934,0.000%,99.762%
洼,3622,3931,0.000%,99.762%
阉,3623,3931,0.000%,99.763%
唏,3624,3929,0.000%,99.763%
孺,3625,3927,0.000%,99.764%
孜,3626,3924,0.000%,99.764%
烘,3627,3923,0.000%,99.764%
拷,3628,3920,0.000%,99.765%
鑫,3629,3916,0.000%,99.765%
骰,3630,3913,0.000%,99.766%
掰,3631,3894,0.000%,99.766%
慵,3632,3890,0.000%,99.766%
闽,3633,3884,0.000%,99.767%
睨,3634,3875,0.000%,99.767%
蚣,3635,3874,0.000%,99.767%
龌,3636,3864,0.000%,99.768%
茗,3637,3856,0.000%,99.768%
冢,3638,3853,0.000%,99.769%
咣,3639,3853,0.000%,99.769%
飒,3640,3847,0.000%,99.769%
咎,3641,3836,0.000%,99.770%
憧,3642,3831,0.000%,99.770%
绎,3643,3830,0.000%,99.771%
靥,3644,3825,0.000%,99.771%
铅,3645,3822,0.000%,99.771%
喏,3646,3812,0.000%,99.772%
皎,3647,3788,0.000%,99.772%
楷,3648,3786,0.000%,99.772%
龊,3649,3782,0.000%,99.773%
黠,3650,3775,0.000%,99.773%
啄,3651,3765,0.000%,99.774%
粪,3652,3750,0.000%,99.774%
杠,3653,3735,0.000%,99.774%
鸯,3654,3732,0.000%,99.775%
柬,3655,3725,0.000%,99.775%
饲,3656,3721,0.000%,99.775%
窑,3657,3717,0.000%,99.776%
闸,3658,3712,0.000%,99.776%
隼,3659,3709,0.000%,99.776%
菌,3660,3703,0.000%,99.777%
膳,3661,3702,0.000%,99.777%
憬,3662,3679,0.000%,99.778%
羔,3663,3676,0.000%,99.778%
喵,3664,3668,0.000%,99.778%
苔,3665,3667,0.000%,99.779%
淼,3666,3666,0.000%,99.779%
寰,3667,3662,0.000%,99.779%
啬,3668,3658,0.000%,99.780%
酝,3669,3657,0.000%,99.780%
旖,3670,3655,0.000%,99.780%
阖,3671,3651,0.000%,99.781%
捍,3672,3633,0.000%,99.781%
颍,3673,3633,0.000%,99.782%
榨,3674,3625,0.000%,99.782%
缅,3675,3614,0.000%,99.782%
乒,3676,3613,0.000%,99.783%
剁,3677,3613,0.000%,99.783%
杵,3678,3610,0.000%,99.783%
髯,3679,3610,0.000%,99.784%
垣,3680,3604,0.000%,99.784%
伢,3681,3596,0.000%,99.784%
瞑,3682,3591,0.000%,99.785%
壑,3683,3590,0.000%,99.785%
殉,3684,3583,0.000%,99.785%
诲,3685,3571,0.000%,99.786%
噤,3686,3552,0.000%,99.786%
瓒,3687,3532,0.000%,99.787%
淬,3688,3531,0.000%,99.787%
筠,3689,3529,0.000%,99.787%
兖,3690,3525,0.000%,99.788%
坍,3691,3524,0.000%,99.788%
笈,3692,3522,0.000%,99.788%
庵,3693,3519,0.000%,99.789%
扉,3694,3514,0.000%,99.789%
奚,3695,3508,0.000%,99.789%
纶,3696,3501,0.000%,99.790%
椎,3697,3498,0.000%,99.790%
宦,3698,3497,0.000%,99.790%
苞,3699,3490,0.000%,99.791%
贲,3700,3488,0.000%,99.791%
梓,3701,3487,0.000%,99.791%
褒,3702,3485,0.000%,99.792%
唆,3703,3480,0.000%,99.792%
琶,3704,3480,0.000%,99.792%
苇,3705,3479,0.000%,99.793%
咂,3706,3473,0.000%,99.793%
毋,3707,3467,0.000%,99.793%
蜕,3708,3464,0.000%,99.794%
辐,3709,3459,0.000%,99.794%
盎,3710,3454,0.000%,99.794%
袜,3711,3449,0.000%,99.795%
蕃,3712,3440,0.000%,99.795%
醇,3713,3440,0.000%,99.795%
峥,3714,3437,0.000%,99.796%
螳,3715,3430,0.000%,99.796%
簸,3716,3426,0.000%,99.796%
粟,3717,3413,0.000%,99.797%
谛,3718,3413,0.000%,99.797%
蹋,3719,3401,0.000%,99.798%
拗,3720,3399,0.000%,99.798%
橡,3721,3398,0.000%,99.798%
馒,3722,3391,0.000%,99.799%
陕,3723,3386,0.000%,99.799%
穗,3724,3385,0.000%,99.799%
邺,3725,3381,0.000%,99.800%
晁,3726,3380,0.000%,99.800%
藻,3727,3376,0.000%,99.800%
橘,3728,3370,0.000%,99.801%
恻,3729,3367,0.000%,99.801%
膺,3730,3364,0.000%,99.801%
弈,3731,3356,0.000%,99.802%
馋,3732,3356,0.000%,99.802%
佟,3733,3351,0.000%,99.802%
枣,3734,3350,0.000%,99.803%
遐,3735,3347,0.000%,99.803%
潺,3736,3340,0.000%,99.803%
啜,3737,3332,0.000%,99.803%
抉,3738,3332,0.000%,99.804%
痪,3739,3330,0.000%,99.804%
撮,3740,3323,0.000%,99.804%
筏,3741,3322,0.000%,99.805%
拌,3742,3321,0.000%,99.805%
霭,3743,3320,0.000%,99.805%
耷,3744,3317,0.000%,99.806%
帛,3745,3310,0.000%,99.806%
郢,3746,3308,0.000%,99.806%
匍,3747,3300,0.000%,99.807%
炬,3748,3286,0.000%,99.807%
娑,3749,3271,0.000%,99.807%
乓,3750,3263,0.000%,99.808%
纬,3751,3262,0.000%,99.808%
嬴,3752,3258,0.000%,99.808%
鹭,3753,3239,0.000%,99.809%
驮,3754,3238,0.000%,99.809%
碾,3755,3232,0.000%,99.809%
砾,3756,3229,0.000%,99.810%
谏,3757,3229,0.000%,99.810%
竺,3758,3228,0.000%,99.810%
迳,3759,3226,0.000%,99.811%
娓,3760,3225,0.000%,99.811%
陇,3761,3219,0.000%,99.811%
沥,3762,3216,0.000%,99.812%
玎,3763,3216,0.000%,99.812%
胥,3764,3198,0.000%,99.812%
旌,3765,3194,0.000%,99.813%
墩,3766,3188,0.000%,99.813%
眦,3767,3187,0.000%,99.813%
篡,3768,3181,0.000%,99.813%
睦,3769,3180,0.000%,99.814%
咛,3770,3179,0.000%,99.814%
噘,3771,3177,0.000%,99.814%
阑,3772,3170,0.000%,99.815%
琵,3773,3165,0.000%,99.815%
咀,3774,3164,0.000%,99.815%
羹,3775,3160,0.000%,99.816%
嫦,3776,3156,0.000%,99.816%
涧,3777,3155,0.000%,99.816%
呲,3778,3154,0.000%,99.817%
曜,3779,3153,0.000%,99.817%
馅,3780,3148,0.000%,99.817%
胭,3781,3143,0.000%,99.818%
诬,3782,3138,0.000%,99.818%
亘,3783,3136,0.000%,99.818%
讷,3784,3136,0.000%,99.818%
侬,3785,3132,0.000%,99.819%
瘴,3786,3131,0.000%,99.819%
昙,3787,3128,0.000%,99.819%
禧,3788,3123,0.000%,99.820%
丕,3789,3120,0.000%,99.820%
孵,3790,3114,0.000%,99.820%
腆,3791,3099,0.000%,99.821%
濒,3792,3097,0.000%,99.821%
剐,3793,3096,0.000%,99.821%
删,3794,3095,0.000%,99.822%
铳,3795,3090,0.000%,99.822%
擞,3796,3085,0.000%,99.822%
簧,3797,3083,0.000%,99.822%
磷,3798,3082,0.000%,99.823%
辗,3799,3071,0.000%,99.823%
匐,3800,3066,0.000%,99.823%
曝,3801,3054,0.000%,99.824%
徨,3802,3049,0.000%,99.824%
粼,3803,3048,0.000%,99.824%
桨,3804,3047,0.000%,99.825%
偃,3805,3039,0.000%,99.825%
楣,3806,3028,0.000%,99.825%
缤,3807,3024,0.000%,99.825%
铎,3808,3019,0.000%,99.826%
锭,3809,3019,0.000%,99.826%
珈,3810,3013,0.000%,99.826%
阐,3811,3007,0.000%,99.827%
婀,3812,3002,0.000%,99.827%
宓,3813,2999,0.000%,99.827%
瓯,3814,2999,0.000%,99.828%
魃,3815,2994,0.000%,99.828%
卉,3816,2990,0.000%,99.828%
踝,3817,2989,0.000%,99.828%
荼,3818,2984,0.000%,99.829%
槛,3819,2983,0.000%,99.829%
姒,3820,2976,0.000%,99.829%
吠,3821,2967,0.000%,99.830%
槌,3822,2967,0.000%,99.830%
鹊,3823,2967,0.000%,99.830%
剃,3824,2958,0.000%,99.831%
瑙,3825,2956,0.000%,99.831%
皂,3826,2953,0.000%,99.831%
蟠,3827,2943,0.000%,99.831%
谄,3828,2934,0.000%,99.832%
颌,3829,2929,0.000%,99.832%
蛰,3830,2925,0.000%,99.832%
刨,3831,2924,0.000%,99.833%
锄,3832,2924,0.000%,99.833%
浏,3833,2917,0.000%,99.833%
瘸,3834,2912,0.000%,99.833%
飚,3835,2904,0.000%,99.834%
卤,3836,2898,0.000%,99.834%
呤,3837,2890,0.000%,99.834%
戍,3838,2889,0.000%,99.835%
馁,3839,2886,0.000%,99.835%
叟,3840,2876,0.000%,99.835%
琰,3841,2871,0.000%,99.835%
垠,3842,2868,0.000%,99.836%
匾,3843,2867,0.000%,99.836%
玟,3844,2862,0.000%,99.836%
炳,3845,2855,0.000%,99.837%
窈,3846,2847,0.000%,99.837%
婊,3847,2846,0.000%,99.837%
杞,3848,2846,0.000%,99.837%
瓢,3849,2846,0.000%,99.838%
嬷,3850,2840,0.000%,99.838%
栓,3851,2834,0.000%,99.838%
嫖,3852,2824,0.000%,99.838%
榭,3853,2823,0.000%,99.839%
殒,3854,2817,0.000%,99.839%
烹,3855,2811,0.000%,99.839%
寅,3856,2807,0.000%,99.840%
礴,3857,2785,0.000%,99.840%
隅,3858,2785,0.000%,99.840%
譬,3859,2779,0.000%,99.840%
绛,3860,2777,0.000%,99.841%
蒜,3861,2777,0.000%,99.841%
筐,3862,2773,0.000%,99.841%
挲,3863,2771,0.000%,99.842%
蛾,3864,2769,0.000%,99.842%
炊,3865,2768,0.000%,99.842%
迥,3866,2761,0.000%,99.842%
骜,3867,2760,0.000%,99.843%
猬,3868,2756,0.000%,99.843%
壹,3869,2755,0.000%,99.843%
靳,3870,2752,0.000%,99.843%
蕉,3871,2745,0.000%,99.844%
腋,3872,2738,0.000%,99.844%
簪,3873,2730,0.000%,99.844%
窕,3874,2724,0.000%,99.845%
鸥,3875,2723,0.000%,99.845%
俑,3876,2716,0.000%,99.845%
垢,3877,2712,0.000%,99.845%
珞,3878,2710,0.000%,99.846%
芮,3879,2706,0.000%,99.846%
轼,3880,2696,0.000%,99.846%
潞,3881,2691,0.000%,99.846%
稣,3882,2680,0.000%,99.847%
沣,3883,2671,0.000%,99.847%
屉,3884,2670,0.000%,99.847%
纨,3885,2670,0.000%,99.847%
稼,3886,2668,0.000%,99.848%
簿,3887,2667,0.000%,99.848%
笋,3888,2666,0.000%,99.848%
鳌,3889,2664,0.000%,99.849%
弼,3890,2656,0.000%,99.849%
垄,3891,2653,0.000%,99.849%
魑,3892,2652,0.000%,99.849%
馀,3893,2651,0.000%,99.850%
黔,3894,2646,0.000%,99.850%
涔,3895,2638,0.000%,99.850%
贽,3896,2638,0.000%,99.850%
麴,3897,2638,0.000%,99.851%
绾,3898,2637,0.000%,99.851%
藐,3899,2635,0.000%,99.851%
钗,3900,2614,0.000%,99.851%
劾,3901,2603,0.000%,99.852%
斓,3902,2602,0.000%,99.852%
泌,3903,2599,0.000%,99.852%
拄,3904,2598,0.000%,99.852%
锏,3905,2594,0.000%,99.853%
坝,3906,2593,0.000%,99.853%
纣,3907,2591,0.000%,99.853%
谧,3908,2591,0.000%,99.853%
鲤,3909,2591,0.000%,99.854%
汲,3910,2587,0.000%,99.854%
丙,3911,2582,0.000%,99.854%
篆,3912,2580,0.000%,99.854%
嚏,3913,2578,0.000%,99.855%
潼,3914,2576,0.000%,99.855%
龇,3915,2576,0.000%,99.855%
皑,3916,2574,0.000%,99.855%
熹,3917,2573,0.000%,99.856%
渲,3918,2571,0.000%,99.856%
呓,3919,2565,0.000%,99.856%
惆,3920,2547,0.000%,99.856%
祠,3921,2541,0.000%,99.857%
梗,3922,2540,0.000%,99.857%
嚅,3923,2537,0.000%,99.857%
灶,3924,2530,0.000%,99.857%
圭,3925,2529,0.000%,99.858%
睚,3926,2525,0.000%,99.858%
茎,3927,2524,0.000%,99.858%
跚,3928,2524,0.000%,99.858%
袒,3929,2516,0.000%,99.859%
撂,3930,2513,0.000%,99.859%
螃,3931,2513,0.000%,99.859%
髻,3932,2511,0.000%,99.859%
