Dataset,Label,Address,Longitude,Latitude,Start Time,End Time,Comments
中国历代国都,东周,洛邑（河南洛阳市西工区）,112.428413,34.6599,公元前770,公元前256,
中国历代国都,春秋战国-齐国,临淄（山东淄博临淄区）,118.309118,36.826981,公元前1044,公元前221,
中国历代国都,春秋战国-晋国,唐/翼/绛(山西翼城/侯马/曲沃),111.718951,35.738576,公元前1033,公元前376,
中国历代国都,春秋战国-秦国,咸阳（陕西咸阳）,108.708991,34.329605,公元前770,公元前207,
中国历代国都,春秋战国-楚国,郢都（湖北荆州 ）,112.239741,30.335165,公元前1042,公元前223,
中国历代国都,春秋战国-宋国,商丘（河南商丘市睢阳区）,115.653302,34.38839,公元前1114,公元前286,
中国历代国都,春秋战国-郑国,新郑（河南新郑）,113.740529,34.395562,公元前806,公元前375,
中国历代国都,春秋战国-鲁国,曲阜（山东曲阜）,116.985503,35.581996,公元前1043,公元前249,
中国历代国都,春秋战国-曹国,陶丘（山东菏泽市定陶区）,115.569619,35.072701,公元前1122,公元前487,
中国历代国都,春秋战国-蔡国,蔡（河南驻马店上蔡县）,114.264381,33.262439,公元前1046,公元前531,
中国历代国都,春秋战国-蔡国,新蔡（河南驻马店新蔡县）,114.920983,32.81148,公元前534,公元前493,
中国历代国都,春秋战国-蔡国,下蔡（安徽淮南市凤台县） ,116.711051,32.709445,公元前493,公元前447,
中国历代国都,春秋战国-陈国,宛丘（河南周口淮阳城关）,114.886154,33.731561,公元前1046,公元前479,
中国历代国都,春秋战国-吴国,姑苏（江苏苏州）,120.585315,31.298886,公元前1100,公元前473,
中国历代国都,春秋战国-越国,会稽（浙江绍兴） ,120.580232,30.029752,公元前2032,公元前222,
中国历代国都,春秋战国-卫国,朝歌（河南鹤壁）,114.297272,35.747225,公元前1115,公元前660,
中国历代国都,春秋战国-卫国,楚丘（河南安阳市滑县）,114.51118,35.57594,公元前659,公元前629,
中国历代国都,春秋战国-卫国,帝丘（河南濮阳）,115.029215,35.761829,公元前629,公元前241,
中国历代国都,春秋战国-卫国,野王（河南焦作沁阳）,112.943069,35.090604,公元前241,公元前209,
中国历代国都,春秋战国-燕国,蓟（北京房山区琉璃河）,116.02635,39.59471,公元前1044年,公元前222,
中国历代国都,春秋战国-魏国,安邑（山西运城市夏县）,111.225456,35.145363,公元前403,公元前364,
中国历代国都,春秋战国-魏国,大梁（河南开封）,114.365276,34.735748,公元前364,公元前225,
中国历代国都,春秋战国-韩国,阳翟（河南禹州）,113.488478,34.141701,公元前403,公元前375,
中国历代国都,春秋战国-韩国,新郑（河南新郑）,113.745529,34.396562,公元前375,公元前230,
中国历代国都,春秋战国-赵国,晋阳（山西太原）,112.545879,37.87559,公元前403,公元前372,
中国历代国都,春秋战国-赵国,信都（河北邢台）,114.504844,37.070589,公元前372,公元前222,陪都
中国历代国都,秦,咸阳（陕西咸阳市秦宫殿遗址）,108.85584,34.404115,公元前221,公元前206,
中国历代国都,西楚,彭城（江苏徐州）,117.284124,34.205768,公元前206,公元前202,
中国历代国都,南越,番禺（广东广州）,113.263434,23.129162,公元前203,公元前110,
中国历代国都,汉-西汉,洛阳（河南洛阳市）,112.448417,34.611527,公元前202,公元前202,
中国历代国都,汉-西汉,栎阳（陕西西安临潼东北）,109.215155,34.585392,公元前202,公元前200,
中国历代国都,汉-西汉,长安（陕西西安市）,108.941619,34.263805,公元前202,8,
中国历代国都,汉-新朝,常安（陕西西安市）,108.946619,34.264805,8,23,
中国历代国都,汉-玄汉,宛城（河南南阳市）,112.528321,32.990833,23,23,
中国历代国都,汉-玄汉,洛阳（河南洛阳市）,112.441417,34.618527,23,24,
中国历代国都,汉-玄汉,长安（陕西西安市）,108.944619,34.268805,24,25,
中国历代国都,汉-赤眉汉,长安（陕西西安市）,108.949619,34.265805,25,27,
中国历代国都,汉-东汉,洛阳（河南洛阳市）,112.441417,34.617927,25,190,
中国历代国都,汉-东汉,长安（陕西西安市）,108.946619,34.262805,191,195,
中国历代国都,汉-东汉,许昌（河南许昌市）,113.85264,34.035506,196,220,
中国历代国都,三国-蜀汉,成都（四川省成都市）,104.065741,30.573469,221,263,
中国历代国都,三国-曹魏,洛阳（河南洛阳市）,112.445417,34.615527,220,266,
中国历代国都,三国-孙吴,建业（江苏南京市）,118.765672,32.046322,222,280,
中国历代国都,西晋,洛阳（河南洛阳市）,112.443417,34.617527,265,313,
中国历代国都,西晋,长安（陕西西安市）,108.941619,34.261105,313,317,
中国历代国都,东晋,建康（江苏南京市）,118.761672,32.046622,317,420,
中国历代国都,十六国-成汉,成都（四川成都）,104.062269,30.661123,304,347,
中国历代国都,十六国-前赵,左国城（山西方山县）,111.237633,37.894059,304,309,
中国历代国都,十六国-前赵,平阳（山西临汾）,111.515976,36.085005,309,319,
中国历代国都,十六国-前赵,长安（陕西西安）,108.942619,34.265805,319,347,
中国历代国都,十六国-前凉,姑臧（甘肃武威）,102.638011,37.928264,317,376,
中国历代国都,十六国-后赵,襄国（河北邢台襄都区）,114.505844,37.075589,319,335,
中国历代国都,十六国-后赵,邺城（河北临漳邺城铜雀台）,114.406966,36.27584,335,351,
中国历代国都,十六国-前燕,龙城（辽宁朝阳）,120.389862,41.497767,337,352,
中国历代国都,十六国-前燕,蓟城（北京房山区琉璃河）,116.03618,39.58935,352,357,
中国历代国都,十六国-前燕,邺城（河北临漳邺城铜雀台）,114.406566,36.27854,357,370,
中国历代国都,十六国-前秦,长安（陕西西安西北）,108.948619,34.263805,351,384,
中国历代国都,十六国-后燕,中山（河北定州）,114.990159,38.516174,384,397,
中国历代国都,十六国-后燕,龙城（辽宁朝阳）,120.385862,41.495767,397,407,
中国历代国都,十六国-后秦,长安（陕西西安）,108.945219,34.261505,384,417,
中国历代国都,十六国-西秦,勇士川（甘肃榆中）,104.112527,35.843056,385,388,
中国历代国都,十六国-西秦,金城（甘肃兰州西）,103.834303,36.061089,388,400,
中国历代国都,十六国-西秦,苑川（甘肃榆中大营川）,104.098903,35.873017,409,412,
中国历代国都,十六国-西秦,枹罕（甘肃临夏市东北）,103.210538,35.601182,412,431,
中国历代国都,十六国-后凉,姑臧（甘肃武威）,102.635011,37.925264,386,403,
中国历代国都,十六国-南凉,广武（甘肃兰州永登）,103.26038,36.736513,397,399,
中国历代国都,十六国-南凉,乐都（青海乐都）,102.401825,36.482158,399,399,
中国历代国都,十六国-南凉,西平（青海西宁）,101.778228,36.617144,399,404,
中国历代国都,十六国-南凉,乐都（青海乐都）,102.402725,36.482058,409,414,
中国历代国都,十六国-北凉,姑臧（甘肃武威）,102.632011,37.955264,397,460,
中国历代国都,十六国-南燕,滑台（河南安阳滑县）,114.515997,35.576002,398,410,
中国历代国都,十六国-南燕,广固（山东潍坊青州）,118.479636,36.6846,398,410,
中国历代国都,十六国-西凉,敦煌（甘肃酒泉敦煌）,94.661967,40.142128,400,405,
中国历代国都,十六国-西凉,酒泉（甘肃酒泉）,98.494483,39.73241,405,421,
中国历代国都,十六国-北燕,龙城（辽宁朝阳）,120.389862,41.497767,409,436,
中国历代国都,十六国-冉魏,邺城（河北临漳邺城铜雀台）,114.406866,36.27554,350,352,
中国历代国都,十六国-西燕,长子（山西长治长子西南）,112.8779,36.122334,384,394,
中国历代国都,十六国-翟魏,滑台（河南安阳滑县）,114.518997,35.575002,386,391,
中国历代国都,十六国-西蜀,成都（四川成都）,104.063741,30.579469,405,413,
中国历代国都,十六国-大夏国,统万城（陕西榆林靖边县城）,108.793988,37.599438,407,431,
中国历代国都,南朝-刘宋,建康（江苏南京市）,118.81886,31.9743,420,479,
中国历代国都,南朝-南齐,建康（江苏南京市）,118.84357,32.02671,479,502,
中国历代国都,南朝-南梁,建康（江苏南京市）,118.76907,32.02176,502,557,
中国历代国都,南朝-南陈,建康（江苏南京市）,118.766372,32.043822,557,589,
中国历代国都,北朝-北魏,盛乐（内蒙古和林格尔北）,111.821843,40.378787,386,398,
中国历代国都,北朝-北魏,平城（山西大同市）,113.300129,40.076762,398,493,
中国历代国都,北朝-北魏,洛阳（河南洛阳市）,112.447417,34.617527,493,534,
中国历代国都,北朝-东魏,邺城（河北临漳邺城铜雀台）,114.406466,36.27444,534,550,
中国历代国都,北朝-西魏,长安（陕西西安市）,108.945619,34.261805,535,557,
中国历代国都,北朝-北齐,邺城（河北临漳邺城铜雀台）,114.406766,36.27544,550,577,
中国历代国都,北朝-北周,长安（陕西西安市）,108.945619,34.260805,557,581,
中国历代国都,隋,大兴（陕西西安市）,108.945918,34.260604,581,605,
中国历代国都,隋,洛阳（河南洛阳市）,112.4434,34.635657,605,618,
中国历代国都,唐,长安（陕西西安市）,108.943118,34.260304,618,690,
中国历代国都,唐-武周,神都（河南洛阳市）,112.4433,34.635157,690,705,
中国历代国都,唐,长安（陕西西安市）,108.945418,34.260104,705,904,
中国历代国都,唐,洛阳（河南洛阳市）,112.4439,34.635157,904,907,
中国历代国都,五代-后梁,开封府（河南开封）,114.312276,34.793748,907,909,
中国历代国都,五代-后梁,河南府（河南洛阳）,112.449417,34.616527,909,913,
中国历代国都,五代-后梁,开封府（河南开封）,114.319476,34.736748,913,923,
中国历代国都,五代-后唐,河南府（河南洛阳）,112.449517,34.616127,923,936,
中国历代国都,五代-后晋,河南府（河南洛阳）,112.446317,34.617327,936,937,
中国历代国都,五代-后晋,开封府（河南开封）,114.21384,34.823369,937,947,
中国历代国都,五代-后汉,开封府（河南开封）,114.22474,34.831569,947,951,
中国历代国都,五代-后周,开封府（河南开封）,114.26184,34.819469,951,960,
中国历代国都,十国-南吴,东都江都府（江苏扬州）,119.412966,32.39421,902,936,
中国历代国都,十国-南吴,西都金陵府（江苏南京）,118.768456,32.054771,936,937,
中国历代国都,十国-南唐,江宁府（江苏南京）,118.839685,31.953702,937,975,
中国历代国都,十国-前蜀,成都（四川成都）,104.066541,30.572269,907,925,
中国历代国都,十国-后蜀,成都（四川成都）,104.066641,30.572369,933,966,
中国历代国都,十国-南汉,兴王府（广东广州）,113.264434,23.129162,917,971,
中国历代国都,十国-南楚,长沙府（湖南长沙）,112.938814,28.228209,896,951,
中国历代国都,十国-吴越,西府（浙江杭州）,120.209947,30.245853,907,978,
中国历代国都,十国-闽国,长乐府（福建福州）,119.296494,26.074507,909,943,
中国历代国都,十国-闽国,建州（福建建瓯）,118.304988,27.022727,943,945,
中国历代国都,十国-荆南,江陵府（湖北秭归）,110.977711,30.825897,924,963,
中国历代国都,十国-北汉,太原府（山西太原）,112.548879,37.87059,951,979,
中国历代国都,北宋,开封府（河南开封市北宋皇宫遗址龙亭公园）,114.350575,34.807217,960,1127,
中国历代国都,南宋,应天府（河南商丘市）,115.61364,34.368325,1127,1138,
中国历代国都,南宋,临安府（浙江省杭州市）,119.724733,30.233873,1138,1279,
中国历代国都,辽,上京临潢府（内蒙古巴林左旗）,119.37949,43.971126,907,947,
中国历代国都,辽,汴京（河南开封市）,114.37144,34.793572,947,1007,
中国历代国都,辽,中京大定府（内蒙古赤峰市宁城县）,118.557602,41.415477,1007,1125,
中国历代国都,大理,羊苴咩城（云南大理）,100.165937,25.694973,937,1253,
中国历代国都,西夏,兴庆府（宁夏银川东南）,106.28865,38.47361,1038,1227,
中国历代国都,金,上京会宁府（黑龙江省哈尔滨市阿城区上京会宁府遗址）,126.984421,45.537262,1115,1153,
中国历代国都,金,中都大兴府（北京市西城区）,116.381973,39.874476,1153,1214,
中国历代国都,金,南京开封府（河南开封市）,114.343843,34.789118,1214,1232,
中国历代国都,金,归德府（河南商丘市归德府）,115.64,34.3725,1232,1234,
中国历代国都,元,大都（北京元大都）,116.432321,39.977738,1271,1368,
中国历代国都,明,应天府（南京明故宫）,118.81087,32.041902,1368,1421,
中国历代国都,明,顺天府（北京故宫）,116.39494,39.9136,1421,1644,
中国历代国都,清,奉天府（辽宁沈阳故宫）,123.455601,41.798458,1636,1644,
中国历代国都,清,顺天府（北京故宫）,116.39594,39.9236,1644,1912,
中国历代国都,中华民国,南京（南京总统府）,118.79185,32.04482,1912,1937,
中国历代国都,中华民国,重庆（重庆国民政府旧址）,106.552173,29.56817,1937,1946,
中国历代国都,中华民国,南京（南京总统府）,118.79285,32.04382,1946,1949,
中国历代国都,中华人民共和国,北京（北京人民大会堂）,116.38688,39.9054,1949,,
