CIE (1964) 10-deg color matching functions
Wavelength (nm)	xbar	ybar	zbar
748	0.00028858	0.000113106	0
749	0.00026909	0.000105501	0
750	0.000250969	0.000098428	0
751	0.00023413	0.000091853	0
752	0.00021847	0.000085738	0
753	0.00020391	0.000080048	0
754	0.00019035	0.000074751	0
755	0.00017773	0.000069819	0
756	0.00016597	0.000065222	0
757	0.00015502	0.000060939	0
758	0.0001448	0.000056942	0
759	0.00013528	0.000053217	0
760	0.00012639	0.000049737	0
761	0.0001181	0.000046491	0
762	0.00011037	0.000043464	0
763	0.00010315	0.000040635	0
764	0.000096427	0.000038	0
765	0.000090151	3.55405E-005	0
766	0.000084294	3.32448E-005	0
767	0.00007883	3.11006E-005	0
768	0.000073729	0.000029099	0
769	0.000068969	2.72307E-005	0
770	6.45258E-005	0.000025486	0
771	0.000060376	2.38561E-005	0
772	0.0000565	2.23332E-005	0
773	0.00005288	2.09104E-005	0
774	0.000049498	1.95808E-005	0
775	0.000046339	1.83384E-005	0
776	0.000043389	1.71777E-005	0
777	0.000040634	1.60934E-005	0
778	0.00003806	0.00001508	0
779	0.000035657	1.41336E-005	0
780	3.34117E-005	0.000013249	0
781	0.000031315	1.24226E-005	0
782	0.000029355	1.16499E-005	0
783	0.000027524	1.09277E-005	0
784	0.000025811	1.02519E-005	0
785	0.000024209	9.6196E-006	0
786	0.000022711	9.0281E-006	0
787	0.000021308	0.000008474	0
788	0.000019994	7.9548E-006	0
789	0.000018764	7.4686E-006	0
790	1.76115E-005	7.0128E-006	0
791	0.000016532	6.5858E-006	0
792	0.000015521	6.1857E-006	0
793	0.000014574	5.8107E-006	0
794	0.000013686	0.000005459	0
795	0.000012855	5.1298E-006	0
796	0.000012075	4.8206E-006	0
797	0.000011345	4.5312E-006	0
798	0.000010659	4.2591E-006	0
799	0.000010017	4.0042E-006	0
800	9.41363E-006	3.76473E-006	0
801	8.8479E-006	0.00000354	0
802	8.3171E-006	3.32914E-006	0
803	0.000007819	3.13115E-006	0
804	7.3516E-006	2.94529E-006	0
805	0.000006913	2.77081E-006	0
806	6.5015E-006	2.60705E-006	0
807	6.1153E-006	2.45329E-006	0
808	5.7529E-006	2.30894E-006	0
809	5.4127E-006	2.17338E-006	0
810	5.09347E-006	2.04613E-006	0
811	4.7938E-006	1.92662E-006	0
812	4.5125E-006	1.8144E-006	0
813	4.2483E-006	0.000001709	0
814	4.0002E-006	1.60988E-006	0
815	3.7671E-006	1.51677E-006	0
816	0.000003548	1.42921E-006	0
817	3.3421E-006	1.34686E-006	0
818	3.1485E-006	1.26945E-006	0
819	2.9665E-006	1.19662E-006	0
820	2.79531E-006	1.12809E-006	0
821	2.6345E-006	1.06368E-006	0
822	2.4834E-006	1.00313E-006	0
823	2.3414E-006	9.4622E-007	0
824	2.2078E-006	8.9263E-007	0
825	0.000002082	8.4216E-007	0
826	1.9636E-006	7.9464E-007	0
827	1.8519E-006	7.4978E-007	0
828	1.7465E-006	7.0744E-007	0
829	1.6471E-006	6.6748E-007	0
830	1.55314E-006	6.297E-007	0
