# 现代汉语语料库汉字频率表
# 语料规模：2000万字 ，只列入出现次数大于5次的字
# 制作：www.cncorpus.org 语料库在线网站
汉字,排名,出现次数,频率（%）,累积频率（%）
等,90,32364.0,0.2081,39.938599999999994
力,91,32108.0,0.2065,40.14509999999999
本,92,31740.0,0.2041,40.34919999999999
长,93,31680.0,0.2037,40.55289999999999
心,94,31417.0,0.2021,40.75499999999999
把,95,31134.0,0.2002,40.95519999999999
部,96,31050.0,0.1997,41.15489999999999
义,97,30754.0,0.1978,41.35269999999999
样,98,30607.0,0.1968,41.549499999999995
事,99,30452.0,0.1958,41.74529999999999
看,100,30442.0,0.1958,41.94109999999999
业,101,30353.0,0.1952,42.13629999999999
当,102,30099.0,0.1936,42.329899999999995
因,103,29929.0,0.1925,42.5224
高,104,29423.0,0.1892,42.7116
十,105,29368.0,0.1889,42.900499999999994
开,106,29338.0,0.1887,43.08919999999999
些,107,29300.0,0.1884,43.27759999999999
社,108,28633.0,0.1841,43.46169999999999
前,109,28420.0,0.1828,43.644499999999994
又,110,28112.0,0.1808,43.82529999999999
它,111,28078.0,0.1806,44.00589999999999
水,112,27878.0,0.1793,44.18519999999999
其,113,27842.0,0.1791,44.364299999999986
没,114,27717.0,0.1783,44.542599999999986
想,115,27478.0,0.1767,44.71929999999998
意,116,26999.0,0.1736,44.89289999999998
三,117,26687.0,0.1716,45.06449999999998
只,118,26560.0,0.1708,45.23529999999998
重,119,25987.0,0.1671,45.40239999999998
点,120,25848.0,0.1662,45.56859999999998
与,121,25294.0,0.1627,45.73129999999998
使,122,25286.0,0.1626,45.89389999999998
但,123,25236.0,0.1623,46.05619999999998
度,124,25107.0,0.1615,46.21769999999998
由,125,24919.0,0.1603,46.37799999999998
道,126,24900.0,0.1601,46.53809999999998
全,127,24874.0,0.16,46.698099999999975
制,128,24547.0,0.1579,46.85599999999997
明,129,24518.0,0.1577,47.01369999999997
相,130,24486.0,0.1575,47.17119999999997
两,131,24478.0,0.1574,47.32859999999997
情,132,24325.0,0.1564,47.48499999999997
外,133,24250.0,0.156,47.64099999999997
间,134,24201.0,0.1556,47.79659999999997
二,135,23915.0,0.1538,47.950399999999966
关,136,23883.0,0.1536,48.103999999999964
活,137,23458.0,0.1509,48.254899999999964
正,138,23423.0,0.1506,48.40549999999996
合,139,23391.0,0.1504,48.55589999999996
者,140,23169.0,0.149,48.70489999999996
形,141,23160.0,0.1489,48.85379999999996
应,142,23073.0,0.1484,49.00219999999996
头,143,23068.0,0.1484,49.15059999999996
无,144,22963.0,0.1477,49.29829999999996
量,145,22942.0,0.1475,49.44579999999996
表,146,22841.0,0.1469,49.592699999999965
象,147,22612.0,0.1454,49.73809999999997
气,148,22327.0,0.1436,49.88169999999997
文,149,22300.0,0.1434,50.025099999999966
展,150,22240.0,0.143,50.16809999999997
系,151,21911.0,0.1409,50.30899999999997
代,152,21806.0,0.1402,50.44919999999997
加,153,21601.0,0.1389,50.58809999999997
各,154,21596.0,0.1389,50.72699999999997
很,155,21577.0,0.1388,50.86579999999997
教,156,21550.0,0.1386,51.00439999999997
新,157,21526.0,0.1384,51.142799999999966
向,158,21480.0,0.1381,51.28089999999997
机,159,21183.0,0.1362,51.41709999999997
她,160,21183.0,0.1362,51.55329999999997
内,161,21104.0,0.1357,51.68899999999997
此,162,21040.0,0.1353,51.82429999999997
老,163,20822.0,0.1339,51.95819999999997
变,164,20368.0,0.131,52.08919999999997
原,165,20335.0,0.1308,52.21999999999997
结,166,19853.0,0.1277,52.34769999999997
问,167,19390.0,0.1247,52.472399999999965
手,168,19325.0,0.1243,52.59669999999996
日,169,19295.0,0.1241,52.72079999999996
利,170,19280.0,0.124,52.844799999999964
质,171,19186.0,0.1234,52.96819999999996
已,172,19102.0,0.1228,53.09099999999996
最,173,19092.0,0.1228,53.21379999999996
政,174,19085.0,0.1227,53.33649999999996
儿,175,18769.0,0.1207,53.45719999999996
见,176,18754.0,0.1206,53.57779999999996
并,177,18720.0,0.1204,53.69819999999996
平,178,18695.0,0.1202,53.818399999999954
资,179,18646.0,0.1199,53.938299999999956
比,180,18628.0,0.1198,54.05809999999995
特,181,18600.0,0.1196,54.17769999999995
果,182,18573.0,0.1194,54.29709999999995
什,183,18335.0,0.1179,54.41499999999995
建,184,18330.0,0.1179,54.53289999999995
反,185,18308.0,0.1177,54.65059999999995
常,186,18225.0,0.1172,54.767799999999944
知,187,18188.0,0.117,54.88479999999994
第,188,18101.0,0.1164,55.00119999999994
电,189,18077.0,0.1163,55.11749999999994
思,190,17947.0,0.1154,55.232899999999944
立,191,17846.0,0.1148,55.347699999999946
提,192,17783.0,0.1144,55.46209999999995
或,193,17650.0,0.1135,55.57559999999995
通,194,17613.0,0.1133,55.688899999999954
解,195,17501.0,0.1126,55.801499999999955
身,196,17302.0,0.1113,55.912799999999955
四,197,17259.0,0.111,56.02379999999995
品,198,17122.0,0.1101,56.133899999999954
几,199,17072.0,0.1098,56.243699999999954
位,200,17071.0,0.1098,56.353499999999954
别,201,17060.0,0.1097,56.46319999999995
论,202,16822.0,0.1082,56.57139999999995
公,203,16789.0,0.108,56.679399999999944
给,204,16738.0,0.1076,56.78699999999994
少,205,16385.0,0.1054,56.892399999999945
条,206,16307.0,0.1049,56.997299999999946
观,207,16133.0,0.1038,57.101099999999946
回,208,16122.0,0.1037,57.20479999999995
海,209,16022.0,0.103,57.30779999999995
基,210,15916.0,0.1024,57.41019999999995
次,211,15871.0,0.1021,57.512299999999954
被,212,15573.0,0.1002,57.612499999999955
山,213,15554.0,0.1,57.712499999999956
才,214,15485.0,0.0996,57.81209999999996
己,215,15444.0,0.0993,57.91139999999996
期,216,15373.0,0.0989,58.01029999999996
西,217,15352.0,0.0987,58.10899999999996
术,218,15296.0,0.0984,58.20739999999996
济,219,15268.0,0.0982,58.305599999999956
认,220,15238.0,0.098,58.403599999999955
先,221,15198.0,0.0977,58.50129999999996
命,222,15130.0,0.0973,58.598599999999955
走,223,14963.0,0.0962,58.69479999999996
真,224,14943.0,0.0961,58.79089999999996
员,225,14901.0,0.0958,58.886699999999955
及,226,14897.0,0.0958,58.98249999999995
数,227,14890.0,0.0958,59.07829999999995
话,228,14887.0,0.0957,59.17399999999995
门,229,14813.0,0.0953,59.26929999999995
级,230,14752.0,0.0949,59.364199999999954
军,231,14740.0,0.0948,59.45899999999995
统,232,14654.0,0.0942,59.553199999999954
光,233,14642.0,0.0942,59.647399999999955
声,234,14566.0,0.0937,59.74109999999995
题,235,14565.0,0.0937,59.83479999999995
入,236,14520.0,0.0934,59.928199999999954
美,237,14489.0,0.0932,60.02139999999996
口,238,14338.0,0.0922,60.113599999999956
感,239,14318.0,0.0921,60.20569999999996
战,240,14290.0,0.0919,60.29759999999996
科,241,14238.0,0.0916,60.38919999999996
程,242,14209.0,0.0914,60.48059999999996
式,243,14197.0,0.0913,60.57189999999996
指,244,14152.0,0.091,60.66289999999996
世,245,14109.0,0.0907,60.753599999999956
必,246,14049.0,0.0904,60.84399999999996
放,247,14014.0,0.0901,60.93409999999996
打,248,13960.0,0.0898,61.023899999999955
接,249,13934.0,0.0896,61.11349999999995
总,250,13934.0,0.0896,61.20309999999995
做,251,13912.0,0.0895,61.29259999999995
东,252,13902.0,0.0894,61.38199999999995
区,253,13858.0,0.0891,61.47109999999995
农,254,13819.0,0.0889,61.55999999999995
强,255,13769.0,0.0886,61.64859999999995
造,256,13747.0,0.0884,61.73699999999995
类,257,13634.0,0.0877,61.82469999999995
受,258,13597.0,0.0874,61.91209999999995
场,259,13558.0,0.0872,61.999299999999955
五,260,13498.0,0.0868,62.08609999999995
直,261,13427.0,0.0864,62.17249999999995
月,262,13322.0,0.0857,62.25819999999995
流,263,13320.0,0.0857,62.343899999999955
决,264,13280.0,0.0854,62.429299999999955
干,265,13275.0,0.0854,62.514699999999955
则,266,13257.0,0.0853,62.59999999999995
更,267,13224.0,0.085,62.68499999999995
色,268,13202.0,0.0849,62.76989999999995
处,269,13127.0,0.0844,62.85429999999995
路,270,13102.0,0.0843,62.93859999999995
运,271,13094.0,0.0842,63.022799999999954
任,272,12999.0,0.0836,63.10639999999995
具,273,12988.0,0.0835,63.18989999999995
目,274,12980.0,0.0835,63.27339999999995
再,275,12904.0,0.083,63.35639999999995
治,276,12767.0,0.0821,63.43849999999995
神,277,12762.0,0.0821,63.520599999999945
求,278,12753.0,0.082,63.602599999999946
件,279,12745.0,0.082,63.684599999999946
管,280,12692.0,0.0816,63.76619999999995
组,281,12604.0,0.0811,63.84729999999995
根,282,12576.0,0.0809,63.92819999999995
阶,283,12535.0,0.0806,64.00879999999995
将,284,12534.0,0.0806,64.08939999999996
改,285,12531.0,0.0806,64.16999999999996
导,286,12525.0,0.0806,64.25059999999996
眼,287,12518.0,0.0805,64.33109999999996
规,288,12500.0,0.0804,64.41149999999996
识,289,12488.0,0.0803,64.49179999999996
革,290,12368.0,0.0795,64.57129999999995
计,291,12073.0,0.0776,64.64889999999995
白,292,12067.0,0.0776,64.72649999999996
马,293,12014.0,0.0773,64.80379999999995
金,294,11964.0,0.0769,64.88069999999995
界,295,11896.0,0.0765,64.95719999999994
取,296,11882.0,0.0764,65.03359999999995
市,297,11874.0,0.0764,65.10999999999996
设,298,11857.0,0.0763,65.26259999999996
语,299,11857.0,0.0763,65.18629999999996
完,300,11828.0,0.0761,65.33869999999996
究,301,11753.0,0.0756,65.41429999999995
党,302,11734.0,0.0755,65.48979999999996
女,303,11717.0,0.0754,65.56519999999996
传,304,11661.0,0.075,65.64019999999996
风,305,11590.0,0.0745,65.71469999999997
信,306,11572.0,0.0744,65.78909999999996
名,307,11541.0,0.0742,65.86329999999997
便,308,11508.0,0.074,65.93729999999996
保,309,11480.0,0.0738,66.01109999999997
育,310,11442.0,0.0736,66.08469999999997
队,311,11438.0,0.0736,66.15829999999997
带,312,11407.0,0.0734,66.23169999999998
叫,313,11323.0,0.0728,66.30449999999998
研,314,11262.0,0.0724,66.37689999999998
领,315,11150.0,0.0717,66.44859999999998
北,316,11061.0,0.0711,66.51969999999999
较,317,11043.0,0.071,66.59069999999998
张,318,11012.0,0.0708,66.66149999999999
即,319,10974.0,0.0706,66.73209999999999
至,320,10970.0,0.0706,66.80269999999999
许,321,10917.0,0.0702,66.87289999999999
步,322,10872.0,0.0699,66.94279999999999
往,323,10811.0,0.0695,67.0123
听,324,10786.0,0.0694,67.0817
调,325,10766.0,0.0692,67.1509
务,326,10743.0,0.0691,67.22
花,327,10710.0,0.0689,67.2889
争,328,10697.0,0.0688,67.3577
线,329,10691.0,0.0688,67.42649999999999
呢,330,10623.0,0.0683,67.49479999999998
每,331,10593.0,0.0681,67.56289999999998
边,332,10572.0,0.068,67.63089999999998
难,333,10546.0,0.0678,67.69869999999999
太,334,10525.0,0.0677,67.76639999999999
共,335,10500.0,0.0675,67.83389999999999
交,336,10488.0,0.0675,67.90139999999998
确,337,10484.0,0.0674,67.96879999999999
劳,338,10396.0,0.0669,68.03569999999999
据,339,10344.0,0.0665,68.1022
达,340,10319.0,0.0664,68.1686
住,341,10281.0,0.0661,68.2347
收,342,10204.0,0.0656,68.30030000000001
候,343,10199.0,0.0656,68.36590000000001
需,344,10191.0,0.0655,68.43140000000001
转,345,10174.0,0.0654,68.49680000000001
百,346,10071.0,0.0648,68.56160000000001
南,347,10033.0,0.0645,68.62610000000001
清,348,10010.0,0.0644,68.69050000000001
格,349,9945.0,0.064,68.75450000000001
影,350,9929.0,0.0639,68.81840000000001
书,351,9927.0,0.0638,68.88220000000001
切,352,9918.0,0.0638,68.94600000000001
且,353,9898.0,0.0637,69.00970000000001
却,354,9896.0,0.0636,69.0733
志,355,9881.0,0.0635,69.13680000000001
热,356,9860.0,0.0634,69.20020000000001
联,357,9857.0,0.0634,69.26360000000001
安,358,9855.0,0.0634,69.32700000000001
极,359,9852.0,0.0634,69.39040000000001
今,360,9780.0,0.0629,69.45330000000001
单,361,9754.0,0.0627,69.51600000000002
商,362,9735.0,0.0626,69.57860000000002
料,363,9653.0,0.0621,69.64070000000002
技,364,9646.0,0.062,69.70270000000002
深,365,9600.0,0.0617,69.76440000000002
验,366,9589.0,0.0617,69.82610000000003
增,367,9571.0,0.0616,69.88770000000002
记,368,9569.0,0.0615,69.94920000000002
近,369,9565.0,0.0615,70.01070000000001
言,370,9564.0,0.0615,70.07220000000001
整,371,9520.0,0.0612,70.13340000000001
精,372,9514.0,0.0612,70.19460000000001
集,373,9478.0,0.061,70.25560000000002
空,374,9433.0,0.0607,70.31630000000001
连,375,9419.0,0.0606,70.3769
报,376,9411.0,0.0605,70.43740000000001
觉,377,9363.0,0.0602,70.4976
车,378,9335.0,0.06,70.55760000000001
价,379,9298.0,0.0598,70.6174
音,380,9280.0,0.0597,70.67710000000001
响,381,9253.0,0.0595,70.73660000000001
办,382,9247.0,0.0595,70.79610000000001
存,383,9247.0,0.0595,70.85560000000001
怎,384,9170.0,0.059,70.91460000000001
病,385,9158.0,0.0589,70.9735
快,386,9110.0,0.0586,71.0321
图,387,9104.0,0.0586,71.0907
况,388,8957.0,0.0576,71.14829999999999
例,389,8908.0,0.0573,71.20559999999999
消,390,8854.0,0.0569,71.26249999999999
容,391,8835.0,0.0568,71.31929999999998
史,392,8821.0,0.0567,71.37599999999999
非,393,8814.0,0.0567,71.4327
离,394,8781.0,0.0565,71.4892
节,395,8778.0,0.0565,71.5457
亲,396,8769.0,0.0564,71.6021
万,397,8766.0,0.0564,71.65849999999999
八,398,8761.0,0.0563,71.71479999999998
构,399,8747.0,0.0563,71.77109999999998
族,400,8744.0,0.0562,71.82729999999998
石,401,8727.0,0.0561,71.88339999999998
满,402,8701.0,0.056,71.93939999999998
何,403,8660.0,0.0557,71.99509999999998
广,404,8646.0,0.0556,72.05069999999998
律,405,8597.0,0.0553,72.10599999999998
青,406,8568.0,0.0551,72.16109999999998
林,407,8513.0,0.0547,72.21579999999997
克,408,8494.0,0.0546,72.27039999999997
王,409,8491.0,0.0546,72.32499999999996
历,410,8455.0,0.0544,72.37939999999996
权,411,8446.0,0.0543,72.43369999999996
素,412,8434.0,0.0542,72.48789999999995
始,413,8376.0,0.0539,72.54179999999995
断,414,8330.0,0.0536,72.59539999999996
九,415,8252.0,0.0531,72.64849999999996
际,416,8249.0,0.0531,72.70159999999996
积,417,8219.0,0.0529,72.75449999999995
吃,418,8176.0,0.0526,72.80709999999995
态,419,8165.0,0.0525,72.91209999999994
艺,420,8165.0,0.0525,72.85959999999994
证,421,8161.0,0.0525,72.96459999999993
众,422,8159.0,0.0525,73.01709999999993
创,423,8135.0,0.0523,73.06939999999993
红,424,8127.0,0.0523,73.12169999999993
望,425,8110.0,0.0522,73.17389999999993
须,426,8105.0,0.0521,73.22599999999993
群,427,8056.0,0.0518,73.27779999999993
师,428,8047.0,0.0518,73.32959999999993
该,429,8028.0,0.0516,73.38119999999992
复,430,7986.0,0.0514,73.43259999999992
细,431,7984.0,0.0513,73.48389999999992
包,432,7983.0,0.0513,73.53519999999992
土,433,7982.0,0.0513,73.58649999999992
持,434,7976.0,0.0513,73.63779999999991
服,435,7962.0,0.0512,73.68899999999991
笑,436,7944.0,0.0511,73.74009999999991
德,437,7923.0,0.051,73.79109999999991
般,438,7896.0,0.0508,73.84189999999991
远,439,7863.0,0.0506,73.89249999999991
爱,440,7850.0,0.0505,73.94299999999991
准,441,7754.0,0.0499,73.9928999999999
写,442,7734.0,0.0497,74.04259999999991
算,443,7663.0,0.0493,74.09189999999991
火,444,7655.0,0.0492,74.14109999999991
死,445,7623.0,0.049,74.19009999999992
半,446,7622.0,0.049,74.23909999999992
布,447,7610.0,0.0489,74.28799999999993
随,448,7598.0,0.0489,74.33689999999993
六,449,7583.0,0.0488,74.38569999999993
元,450,7581.0,0.0488,74.43449999999993
低,451,7573.0,0.0487,74.48319999999993
称,452,7571.0,0.0487,74.53189999999992
引,453,7550.0,0.0486,74.58049999999992
照,454,7534.0,0.0485,74.62899999999992
失,455,7495.0,0.0482,74.67719999999991
养,456,7485.0,0.0481,74.72529999999992
视,457,7472.0,0.0481,74.77339999999992
习,458,7466.0,0.048,74.82139999999993
段,459,7456.0,0.048,74.86939999999993
字,460,7428.0,0.0478,74.91719999999992
织,461,7420.0,0.0477,74.96489999999993
斗,462,7350.0,0.0473,75.01219999999994
团,463,7279.0,0.0468,75.05899999999994
器,464,7262.0,0.0467,75.10569999999994
兴,465,7236.0,0.0465,75.15219999999994
乐,466,7211.0,0.0464,75.19859999999994
效,467,7207.0,0.0464,75.24499999999995
显,468,7164.0,0.0461,75.29109999999994
斯,469,7158.0,0.046,75.33709999999995
千,470,7094.0,0.0456,75.38269999999994
落,471,7075.0,0.0455,75.42819999999995
示,472,7058.0,0.0454,75.47359999999995
仅,473,7057.0,0.0454,75.51899999999995
企,474,7052.0,0.0454,75.56439999999995
似,475,7037.0,0.0453,75.60969999999995
备,476,7026.0,0.0452,75.65489999999994
除,477,6997.0,0.045,75.69989999999994
支,478,6987.0,0.0449,75.74479999999994
标,479,6974.0,0.0449,75.78969999999994
早,480,6958.0,0.0447,75.83439999999995
吧,481,6948.0,0.0447,75.87909999999995
周,482,6869.0,0.0442,75.92329999999995
速,483,6862.0,0.0441,75.96739999999996
跟,484,6815.0,0.0438,76.01119999999996
七,485,6778.0,0.0436,76.05479999999996
采,486,6764.0,0.0435,76.09829999999995
状,487,6732.0,0.0433,76.14159999999995
吗,488,6700.0,0.0431,76.18469999999995
约,489,6695.0,0.0431,76.22779999999995
城,490,6688.0,0.043,76.27079999999995
层,491,6686.0,0.043,76.31379999999996
专,492,6666.0,0.0429,76.35669999999996
划,493,6659.0,0.0428,76.39949999999996
轻,494,6657.0,0.0428,76.44229999999996
拉,495,6586.0,0.0424,76.48469999999996
值,496,6584.0,0.0423,76.52699999999996
适,497,6576.0,0.0423,76.56929999999996
英,498,6572.0,0.0423,76.61159999999995
告,499,6514.0,0.0419,76.65349999999995
讲,500,6508.0,0.0419,76.69539999999995
维,501,6485.0,0.0417,76.73709999999996
营,502,6483.0,0.0417,76.77879999999996
士,503,6467.0,0.0416,76.82039999999996
环,504,6441.0,0.0414,76.86179999999996
古,505,6441.0,0.0414,76.90319999999996
让,506,6433.0,0.0414,76.94459999999995
院,507,6433.0,0.0414,76.98599999999995
按,508,6396.0,0.0411,77.02709999999995
型,509,6395.0,0.0411,77.06819999999995
势,510,6389.0,0.0411,77.15039999999995
足,511,6389.0,0.0411,77.10929999999995
毛,512,6377.0,0.041,77.19139999999994
台,513,6366.0,0.0409,77.23229999999994
紧,514,6340.0,0.0408,77.27309999999994
片,515,6336.0,0.0407,77.31379999999994
属,516,6315.0,0.0406,77.35439999999994
严,517,6313.0,0.0406,77.39499999999994
树,518,6299.0,0.0405,77.43549999999993
画,519,6292.0,0.0405,77.47599999999993
厂,520,6270.0,0.0403,77.51629999999993
功,521,6261.0,0.0403,77.55659999999993
注,522,6254.0,0.0402,77.59679999999993
演,523,6244.0,0.0402,77.63699999999993
源,524,6237.0,0.0401,77.67709999999992
温,525,6229.0,0.0401,77.71719999999992
某,526,6227.0,0.04,77.75719999999993
找,527,6199.0,0.0399,77.79709999999993
参,528,6195.0,0.0398,77.83689999999993
易,529,6193.0,0.0398,77.87669999999993
飞,530,6183.0,0.0398,77.91649999999993
推,531,6177.0,0.0397,77.95619999999992
围,532,6173.0,0.0397,77.99589999999992
列,533,6167.0,0.0397,78.03559999999992
客,534,6163.0,0.0396,78.07519999999991
河,535,6132.0,0.0394,78.11459999999991
虽,536,6120.0,0.0394,78.15399999999991
境,537,6114.0,0.0393,78.19329999999991
食,538,6111.0,0.0393,78.2325999999999
李,539,6108.0,0.0393,78.2718999999999
尔,540,6073.0,0.0391,78.31099999999991
黄,541,6064.0,0.039,78.34999999999991
黑,542,6053.0,0.0389,78.38889999999991
念,543,6008.0,0.0386,78.42749999999991
越,544,5995.0,0.0386,78.46609999999991
选,545,5981.0,0.0385,78.50459999999991
华,546,5977.0,0.0384,78.5429999999999
角,547,5970.0,0.0384,78.5813999999999
考,548,5958.0,0.0383,78.61969999999991
致,549,5953.0,0.0383,78.65799999999992
夫,550,5911.0,0.038,78.69599999999991
初,551,5910.0,0.038,78.73399999999991
装,552,5895.0,0.0379,78.7718999999999
议,553,5883.0,0.0378,78.8096999999999
首,554,5883.0,0.0378,78.84749999999991
委,555,5882.0,0.0378,78.88529999999992
底,556,5881.0,0.0378,78.92309999999992
另,557,5876.0,0.0378,78.96089999999992
江,558,5866.0,0.0377,78.99859999999993
息,559,5853.0,0.0376,79.03619999999992
密,560,5812.0,0.0374,79.11099999999993
压,561,5812.0,0.0374,79.07359999999993
孩,562,5770.0,0.0371,79.14809999999993
村,563,5759.0,0.037,79.18509999999993
费,564,5720.0,0.0368,79.22189999999993
局,565,5703.0,0.0367,79.25859999999993
派,566,5640.0,0.0363,79.29489999999993
房,567,5637.0,0.0363,79.33119999999992
星,568,5628.0,0.0362,79.36739999999992
突,569,5613.0,0.0361,79.40349999999992
供,570,5592.0,0.036,79.43949999999992
曾,571,5574.0,0.0358,79.47529999999992
排,572,5560.0,0.0358,79.51109999999991
苦,573,5558.0,0.0357,79.54679999999992
够,574,5557.0,0.0357,79.58249999999992
像,575,5554.0,0.0357,79.61819999999993
站,576,5535.0,0.0356,79.65379999999993
校,577,5501.0,0.0354,79.68919999999993
富,578,5457.0,0.0351,79.72429999999993
谈,579,5453.0,0.0351,79.75939999999993
米,580,5444.0,0.035,79.79439999999992
充,581,5413.0,0.0348,79.82919999999993
阳,582,5408.0,0.0348,79.86399999999993
破,583,5401.0,0.0347,79.89869999999993
母,584,5399.0,0.0347,79.93339999999993
球,585,5386.0,0.0346,79.96799999999993
射,586,5358.0,0.0345,80.00249999999993
批,587,5350.0,0.0344,80.03689999999993
配,588,5349.0,0.0344,80.07129999999994
纪,589,5343.0,0.0344,80.10569999999994
未,590,5339.0,0.0343,80.13999999999994
哪,591,5316.0,0.0342,80.17419999999994
妈,592,5307.0,0.0341,80.20829999999994
差,593,5289.0,0.034,80.24229999999994
刚,594,5285.0,0.034,80.27629999999995
率,595,5278.0,0.0339,80.31019999999995
察,596,5267.0,0.0339,80.34409999999995
舞,597,5261.0,0.0338,80.37789999999995
依,598,5256.0,0.0338,80.41169999999995
占,599,5244.0,0.0337,80.44539999999995
呀,600,5232.0,0.0336,80.47899999999996
微,601,5219.0,0.0336,80.51259999999996
础,602,5209.0,0.0335,80.54609999999997
益,603,5209.0,0.0335,80.57959999999997
倒,604,5208.0,0.0335,80.64659999999998
刻,605,5208.0,0.0335,80.61309999999997
举,606,5194.0,0.0334,80.67999999999998
血,607,5170.0,0.0332,80.71319999999997
故,608,5136.0,0.033,80.74619999999997
互,609,5129.0,0.033,80.77919999999997
范,610,5127.0,0.033,80.81219999999998
木,611,5125.0,0.033,80.84519999999998
号,612,5083.0,0.0327,80.87789999999998
尽,613,5068.0,0.0326,80.91049999999998
请,614,5058.0,0.0325,80.94299999999998
脸,615,5046.0,0.0325,80.97549999999998
兵,616,5029.0,0.0323,81.00779999999999
职,617,5021.0,0.0323,81.0401
留,618,5020.0,0.0323,81.0724
铁,619,5011.0,0.0322,81.1046
吸,620,5007.0,0.0322,81.13680000000001
钱,621,4985.0,0.0321,81.16890000000001
急,622,4972.0,0.032,81.2009
独,623,4971.0,0.032,81.2329
剧,624,4970.0,0.032,81.2649
查,625,4957.0,0.0319,81.29679999999999
皮,626,4954.0,0.0319,81.32869999999998
激,627,4952.0,0.0318,81.36049999999999
坐,628,4951.0,0.0318,81.39229999999999
乎,629,4940.0,0.0318,81.4241
固,630,4882.0,0.0314,81.4555
害,631,4873.0,0.0313,81.4868
夜,632,4867.0,0.0313,81.5181
续,633,4863.0,0.0313,81.5494
京,634,4860.0,0.0313,81.58070000000001
