镇,经度,纬度,犯罪率,超过25000平米的区,工业用地,靠近查理斯河,一氧化氮浓度,平均房间数,早于1940建成比率,到达市中心的距离,公路可达性,税率,学生教师比,低收入比,价格中位数
Danvers,-70.9580002,42.3460007,0.053599998,21,5.63999987,no,0.43900001,6.51100016,21.1000004,6.81470013,4,243,16.7999992,5.28000021,25
Danvers,-70.9779968,42.3424988,0.04981,21,5.63999987,no,0.43900001,5.99800014,21.3999996,6.81470013,4,243,16.7999992,8.43000031,23.3999996
Middleton,-71.0175018,42.3714981,0.0136,75,4,no,0.409999996,5.88800001,47.5999985,7.31969976,3,469,21.1000004,14.8000002,18.8999996
Topsfield,-70.9625015,42.3810005,0.01311,90,1.22000003,no,0.402999997,7.24900007,21.8999996,8.69659996,5,226,17.8999996,4.80999994,35.4000015
Hamilton,-70.9300003,42.3740005,0.02055,85,0.74000001,no,0.409999996,6.3829999,35.7000008,9.18760014,2,313,17.2999992,5.76999998,24.7000008
Wenham,-70.9294968,42.3714981,0.01432,100,1.32000005,no,0.411000013,6.81599998,40.5,8.32479954,5,256,15.1000004,3.95000005,31.6000004
Beverly,-70.9384995,42.3460007,0.154449999,25,5.13000011,no,0.453000009,6.14499998,29.2000008,7.81479979,8,284,19.7000008,6.86000013,23.2999992
Beverly,-70.9400024,42.3320007,0.10328,25,5.13000011,no,0.453000009,5.92700005,47.2000008,6.93200016,8,284,19.7000008,9.22000027,19.6000004
Beverly,-70.9300003,42.3370018,0.149320006,25,5.13000011,no,0.453000009,5.74100018,66.1999969,7.22539997,8,284,19.7000008,13.1499996,18.7000008
Beverly,-70.9300003,42.3274994,0.171709999,25,5.13000011,no,0.453000009,5.96600008,93.4000015,6.81850004,8,284,19.7000008,14.4399996,16
Beverly,-70.9215012,42.3320007,0.110270001,25,5.13000011,no,0.453000009,6.45599985,67.8000031,7.22550011,8,284,19.7000008,6.73000002,22.2000008
Beverly,-70.9075012,42.3390007,0.126499996,25,5.13000011,no,0.453000009,6.76200008,43.4000015,7.98089981,8,284,19.7000008,9.5,25
Manchester,-70.8600006,42.3450012,0.019509999,17.5,1.38,no,0.416099995,7.10400009,59.5,9.22290039,3,216,18.6000004,8.05000019,33
North Reading,-71.0449982,42.3450012,0.035840001,80,3.36999989,no,0.398000002,6.28999996,17.7999992,6.61149979,4,337,16.1000004,4.67000008,23.5
North Reading,-71.0690002,42.3525009,0.043790001,80,3.36999989,no,0.398000002,5.78700018,31.1000004,6.61149979,4,337,16.1000004,10.2399998,19.3999996
Wilmington,-71.0899963,42.3362007,0.057890002,12.5,6.07000017,no,0.409000009,5.87799978,21.3999996,6.49800014,4,345,18.8999996,8.10000038,22
Wilmington,-71.1080017,42.3400002,0.135539994,12.5,6.07000017,no,0.409000009,5.59399986,36.7999992,6.49800014,4,345,18.8999996,13.0900002,17.3999996
Wilmington,-71.1110001,42.3269997,0.12816,12.5,6.07000017,no,0.409000009,5.88500023,33,6.49800014,4,345,18.8999996,8.78999996,20.8999996
Burlington,-71.1210022,42.3160019,0.088260002,0,10.8100004,no,0.412999988,6.41699982,6.5999999,5.28730011,4,305,19.2000008,6.71999979,24.2000008
Burlington,-71.1094971,42.3008003,0.158759996,0,10.8100004,no,0.412999988,5.96099997,17.5,5.28730011,4,305,19.2000008,9.88000011,21.7000008
Burlington,-71.1299973,42.3050003,0.091640003,0,10.8100004,no,0.412999988,6.06500006,7.80000019,5.28730011,4,305,19.2000008,5.51999998,22.7999992
Burlington,-71.1230011,42.2919998,0.195390001,0,10.8100004,no,0.412999988,6.24499989,6.19999981,5.28730011,4,305,19.2000008,7.53999996,23.3999996
Woburn,-71.1104965,42.2890015,0.078960002,0,12.8299999,no,0.437000006,6.27299976,6,4.25150013,5,398,18.7000008,6.78000021,24.1000004
Woburn,-71.0999985,42.2874985,0.095119998,0,12.8299999,no,0.437000006,6.28599977,45,4.50260019,5,398,18.7000008,8.93999958,21.3999996
Woburn,-71.0899963,42.2835007,0.101530001,0,12.8299999,no,0.437000006,6.27899981,74.5,4.05219984,5,398,18.7000008,11.9700003,20
Woburn,-71.0759964,42.2895012,0.087070003,0,12.8299999,no,0.437000006,6.13999987,45.7999992,4.09049988,5,398,18.7000008,10.2700005,20.7999992
Woburn,-71.0904999,42.2949982,0.056460001,0,12.8299999,no,0.437000006,6.23199987,53.7000008,5.01410007,5,398,18.7000008,12.3400002,21.2000008
Woburn,-71.0910034,42.3050003,0.083870001,0,12.8299999,no,0.437000006,5.87400007,36.5999985,4.50260019,5,398,18.7000008,9.10000038,20.2999992
Reading,-71.0684967,42.3079987,0.041129999,25,4.86000013,no,0.425999999,6.72700024,33.5,5.40070009,4,281,19,5.28999996,28
Reading,-71.0690002,42.3149986,0.04462,25,4.86000013,no,0.425999999,6.61899996,70.4000015,5.40070009,4,281,19,7.21999979,23.8999996
Reading,-71.0674973,42.3260002,0.036589999,25,4.86000013,no,0.425999999,6.30200005,32.2000008,5.40070009,4,281,19,6.71999979,24.7999992
Reading,-71.0575027,42.3170013,0.03551,25,4.86000013,no,0.425999999,6.16699982,46.7000008,5.40070009,4,281,19,7.51000023,22.8999996
Wakefield,-71.0429993,42.3074989,0.050590001,0,4.48999977,no,0.449000001,6.38899994,48,4.77939987,3,247,18.5,9.61999989,23.8999996
Wakefield,-71.0500031,42.2999992,0.057349999,0,4.48999977,no,0.449000001,6.63000011,56.0999985,4.43769979,3,247,18.5,6.53000021,26.6000004
Wakefield,-71.0329971,42.3050003,0.051879998,0,4.48999977,no,0.449000001,6.01499987,45.0999985,4.42719984,3,247,18.5,12.8599997,22.5
Wakefield,-71.0390015,42.2885017,0.071510002,0,4.48999977,no,0.449000001,6.12099981,56.7999992,3.74760008,3,247,18.5,8.43999958,22.2000008
Melrose,-71.0419998,42.2795982,0.056600001,0,3.41000009,no,0.488999993,7.00699997,86.3000031,3.4217,2,270,17.7999992,5.5,23.6000004
Melrose,-71.0345001,42.2784996,0.053020001,0,3.41000009,no,0.488999993,7.079,63.0999985,3.4145,2,270,17.7999992,5.69999981,28.7000008
Melrose,-71.0299988,42.2719994,0.046840001,0,3.41000009,no,0.488999993,6.41699982,66.0999985,3.09229994,2,270,17.7999992,8.81000042,22.6000004
Melrose,-71.0425034,42.2714996,0.03932,0,3.41000009,no,0.488999993,6.40500021,73.9000015,3.09209991,2,270,17.7999992,8.19999981,22
Stoneham,-71.0530014,42.2830009,0.042029999,28,15.04,no,0.463999987,6.44199991,53.5999985,3.66589999,4,270,18.2000008,8.15999985,22.8999996
Stoneham,-71.0619965,42.2960014,0.02875,28,15.04,no,0.463999987,6.21099997,28.8999996,3.66589999,4,270,18.2000008,6.21000004,25
Stoneham,-71.0615005,42.2840004,0.042939998,28,15.04,no,0.463999987,6.24900007,77.3000031,3.61500001,4,270,18.2000008,10.5900002,20.6000004
Winchester,-71.0759964,42.2775002,0.122040004,0,2.8900001,no,0.444999993,6.625,57.7999992,3.49519992,2,276,18,6.6500001,28.3999996
Winchester,-71.0849991,42.2775002,0.115039997,0,2.8900001,no,0.444999993,6.16300011,69.5999985,3.49519992,2,276,18,11.3400002,21.3999996
Winchester,-71.0889969,42.2714996,0.120829999,0,2.8900001,no,0.444999993,8.06900024,76,3.49519992,2,276,18,4.21000004,38.7000008
Winchester,-71.0981979,42.2685013,0.081869997,0,2.8900001,no,0.444999993,7.82000017,36.9000015,3.49519992,2,276,18,3.56999993,43.7999992
Winchester,-71.0800018,42.2680016,0.068599999,0,2.8900001,no,0.444999993,7.41599989,62.5,3.49519992,2,276,18,6.19000006,33.2000008
Medford,-71.066803,42.2545013,0.148660004,0,8.56000042,no,0.519999981,6.72700024,79.9000015,2.77780008,5,384,20.8999996,9.42000008,27.5
Medford,-71.0810013,42.2449989,0.114320002,0,8.56000042,no,0.519999981,6.78100014,71.3000031,2.85610008,5,384,20.8999996,7.67000008,26.5
Medford,-71.0811996,42.2514992,0.228760004,0,8.56000042,no,0.519999981,6.40500021,85.4000015,2.71469998,5,384,20.8999996,10.6300001,18.6000004
Medford,-71.0770035,42.2490005,0.211610004,0,8.56000042,no,0.519999981,6.13700008,87.4000015,2.71469998,5,384,20.8999996,13.4399996,19.2999992
Medford,-71.0690002,42.2480011,0.139599994,0,8.56000042,no,0.519999981,6.16699982,90,2.421,5,384,20.8999996,12.3299999,20.1000004
Medford,-71.0662003,42.2425003,0.132620007,0,8.56000042,no,0.519999981,5.85099983,96.6999969,2.10689998,5,384,20.8999996,16.4699993,19.5
Medford,-71.0622025,42.2430992,0.171200007,0,8.56000042,no,0.519999981,5.83599997,91.9000015,2.21099997,5,384,20.8999996,18.6599998,19.5
Medford,-71.0552979,42.2464981,0.131170005,0,8.56000042,no,0.519999981,6.12699986,85.1999969,2.12240005,5,384,20.8999996,14.0900002,20.3999996
Medford,-71.0550003,42.2504997,0.128020003,0,8.56000042,no,0.519999981,6.47399998,97.0999985,2.43289995,5,384,20.8999996,12.2700005,19.7999992
Medford,-71.0599976,42.2540016,0.263630003,0,8.56000042,no,0.519999981,6.22900009,91.1999969,2.54509997,5,384,20.8999996,15.5500002,19.3999996
Medford,-71.0559998,42.2605019,0.107929997,0,8.56000042,no,0.519999981,6.19500017,54.4000015,2.77780008,5,384,20.8999996,13,21.7000008
Malden,-71.0475006,42.2610016,0.100840002,0,10.0100002,no,0.546999991,6.71500015,81.5999985,2.67750001,6,432,17.7999992,10.1599998,22.7999992
Malden,-71.0490036,42.2529984,0.123290002,0,10.0100002,no,0.546999991,5.91300011,92.9000015,2.35339999,6,432,17.7999992,16.2099991,18.7999992
Malden,-71.0428009,42.2579994,0.222120002,0,10.0100002,no,0.546999991,6.09200001,95.4000015,2.5480001,6,432,17.7999992,17.0900002,18.7000008
Malden,-71.0395966,42.2512016,0.142309994,0,10.0100002,no,0.546999991,6.25400019,84.1999969,2.25650001,6,432,17.7999992,10.4499998,18.5
Malden,-71.0354996,42.2545013,0.171340004,0,10.0100002,no,0.546999991,5.92799997,88.1999969,2.46309996,6,432,17.7999992,15.7600002,18.2999992
Malden,-71.0360031,42.2607994,0.131579995,0,10.0100002,no,0.546999991,6.17600012,72.5,2.73009992,6,432,17.7999992,12.04,21.2000008
Malden,-71.0285034,42.262001,0.150979996,0,10.0100002,no,0.546999991,6.02099991,82.5999985,2.74740005,6,432,17.7999992,10.3000002,19.2000008
Malden,-71.0285034,42.2579994,0.130579993,0,10.0100002,no,0.546999991,5.87200022,73.0999985,2.47749996,6,432,17.7999992,15.3699999,20.3999996
Malden,-71.0189972,42.2605019,0.144759998,0,10.0100002,no,0.546999991,5.73099995,65.1999969,2.7592001,6,432,17.7999992,13.6099997,19.2999992
Everett,-71.0242996,42.2482986,0.06899,0,25.6499996,no,0.58099997,5.86999989,69.6999969,2.25769997,2,188,19.1000004,14.3699999,22
Everett,-71.0311966,42.2504997,0.071649998,0,25.6499996,no,0.58099997,6.00400019,84.0999985,2.19740009,2,188,19.1000004,14.2700005,20.2999992
Everett,-71.0376968,42.2470016,0.092990004,0,25.6499996,no,0.58099997,5.96099997,92.9000015,2.0869,2,188,19.1000004,17.9300003,20.5
Everett,-71.0370026,42.2434998,0.15038,0,25.6499996,no,0.58099997,5.85599995,97,1.94439995,2,188,19.1000004,25.4099998,17.2999992
Everett,-71.0307999,42.2449989,0.09849,0,25.6499996,no,0.58099997,5.87900019,95.8000031,2.00629997,2,188,19.1000004,17.5799999,18.7999992
Everett,-71.0261993,42.2430992,0.169019997,0,25.6499996,no,0.58099997,5.98600006,88.4000015,1.99290001,2,188,19.1000004,14.8100004,21.3999996
Everett,-71.0333023,42.2394981,0.387349993,0,25.6499996,no,0.58099997,5.61299992,95.5999985,1.7572,2,188,19.1000004,27.2600002,15.6999998
Somerville,-71.0530014,42.2355003,0.259149998,0,21.8899994,no,0.624000013,5.69299984,96,1.78830004,4,437,21.2000008,17.1900005,16.2000008
Somerville,-71.0579987,42.2350006,0.325430006,0,21.8899994,no,0.624000013,6.43100023,98.8000031,1.8125,4,437,21.2000008,15.3900003,18
Somerville,-71.063797,42.2368011,0.881250024,0,21.8899994,no,0.624000013,5.63700008,94.6999969,1.9799,4,437,21.2000008,18.3400002,14.3000002
Somerville,-71.0691986,42.2389984,0.340059996,0,21.8899994,no,0.624000013,6.45800018,98.9000015,2.11849999,4,437,21.2000008,12.6000004,19.2000008
Somerville,-71.0749969,42.2400017,1.19294,0,21.8899994,no,0.624000013,6.32600021,97.6999969,2.27099991,4,437,21.2000008,12.2600002,19.6000004
Somerville,-71.074501,42.2405014,0.590049982,0,21.8899994,no,0.624000013,6.37200022,97.9000015,2.32739997,4,437,21.2000008,11.1199999,23
Somerville,-71.0790024,42.2449989,0.329820007,0,21.8899994,no,0.624000013,5.82200003,95.4000015,2.46989989,4,437,21.2000008,15.0299997,18.3999996
Somerville,-71.0759964,42.2405014,0.976170003,0,21.8899994,no,0.624000013,5.75699997,98.4000015,2.34599996,4,437,21.2000008,17.3099995,15.6000004
Somerville,-71.0749969,42.2361984,0.557780027,0,21.8899994,no,0.624000013,6.33500004,98.1999969,2.11069989,4,437,21.2000008,16.9599991,18.1000004
Somerville,-71.0677032,42.2335014,0.322640002,0,21.8899994,no,0.624000013,5.94199991,93.5,1.96689999,4,437,21.2000008,16.8999996,17.3999996
Somerville,-71.0630035,42.2324982,0.352329999,0,21.8899994,no,0.624000013,6.454,98.4000015,1.84979999,4,437,21.2000008,14.5900002,17.1000004
Somerville,-71.0619965,42.2275009,0.249799997,0,21.8899994,no,0.624000013,5.85699987,98.1999969,1.66859996,4,437,21.2000008,21.3199997,13.3000002
Somerville,-71.0568008,42.2299995,0.54452002,0,21.8899994,no,0.624000013,6.15100002,97.9000015,1.66869998,4,437,21.2000008,18.4599991,17.7999992
Somerville,-71.0518036,42.2312012,0.290899992,0,21.8899994,no,0.624000013,6.17399979,93.5999985,1.61189997,4,437,21.2000008,24.1599998,14
Somerville,-71.0542984,42.2265015,1.62864006,0,21.8899994,no,0.624000013,5.01900005,100,1.43939996,4,437,21.2000008,34.4099998,14.3999996
Cambridge,-71.0479965,42.2221985,3.32104993,0,19.5799999,yes,0.870999992,5.40299988,100,1.32159996,5,403,14.6999998,26.8199997,13.3999996
Cambridge,-71.0519028,42.2229996,4.09740019,0,19.5799999,no,0.870999992,5.46799994,100,1.41180003,5,403,14.6999998,26.4200001,15.6000004
Cambridge,-71.0510025,42.2205009,2.7797401,0,19.5799999,no,0.870999992,4.90299988,97.8000031,1.34590006,5,403,14.6999998,29.2900009,11.8000002
Cambridge,-71.0540009,42.2190018,2.37933993,0,19.5799999,no,0.870999992,6.13000011,100,1.41910005,5,403,14.6999998,27.7999992,13.8000002
Cambridge,-71.0589981,42.2210007,2.15505004,0,19.5799999,no,0.870999992,5.62799978,100,1.51660001,5,403,14.6999998,16.6499996,15.6000004
Cambridge,-71.0554962,42.2221985,2.36861992,0,19.5799999,no,0.870999992,4.92600012,95.6999969,1.46080005,5,403,14.6999998,29.5300007,14.6000004
Cambridge,-71.0567017,42.223999,2.33099008,0,19.5799999,no,0.870999992,5.18599987,93.8000031,1.52960002,5,403,14.6999998,28.3199997,17.7999992
Cambridge,-71.0579987,42.2229996,2.73396993,0,19.5799999,no,0.870999992,5.59700012,94.9000015,1.52569997,5,403,14.6999998,21.4500008,15.3999996
Cambridge,-71.0619965,42.2235985,1.6566,0,19.5799999,no,0.870999992,6.12200022,97.3000031,1.61800003,5,403,14.6999998,14.1000004,21.5
Cambridge,-71.0622025,42.2205009,1.49632001,0,19.5799999,no,0.870999992,5.40399981,100,1.59159994,5,403,14.6999998,13.2799997,19.6000004
Cambridge,-71.0589981,42.2169991,1.12658,0,19.5799999,yes,0.870999992,5.01200008,88,1.61020005,5,403,14.6999998,12.1199999,15.3000002
Cambridge,-71.0644989,42.2150002,2.14917994,0,19.5799999,no,0.870999992,5.70900011,98.5,1.62320006,5,403,14.6999998,15.79,19.3999996
Cambridge,-71.0662003,42.2162018,1.41384995,0,19.5799999,yes,0.870999992,6.12900019,96,1.74940002,5,403,14.6999998,15.1199999,17
Cambridge,-71.0680008,42.2150002,3.5350101,0,19.5799999,yes,0.870999992,6.15199995,82.5999985,1.74549997,5,403,14.6999998,15.0200005,15.6000004
Cambridge,-71.0667038,42.2200012,2.44668007,0,19.5799999,no,0.870999992,5.27199984,94,1.73640001,5,403,14.6999998,16.1399994,13.1000004
Cambridge,-71.0690002,42.2285004,1.22358,0,19.5799999,no,0.605000019,6.94299984,97.4000015,1.87730002,5,403,14.6999998,4.59000015,41.2999992
Cambridge,-71.0670013,42.2244987,1.34283996,0,19.5799999,no,0.605000019,6.06599998,100,1.75730002,5,403,14.6999998,6.42999983,24.2999992
Cambridge,-71.0650024,42.2223015,1.42501998,0,19.5799999,no,0.870999992,6.51000023,100,1.76590002,5,403,14.6999998,7.38999987,23.2999992
Cambridge,-71.0699997,42.2214012,1.27346003,0,19.5799999,yes,0.605000019,6.25,92.5999985,1.79840004,5,403,14.6999998,5.5,27
Cambridge,-71.0735016,42.228199,1.46335995,0,19.5799999,no,0.605000019,7.48899984,90.8000031,1.97090006,5,403,14.6999998,1.73000002,50
Cambridge,-71.0770035,42.2249985,1.83377004,0,19.5799999,yes,0.605000019,7.80200005,98.1999969,2.04069996,5,403,14.6999998,1.91999996,50
Cambridge,-71.0814972,42.2249985,1.51901996,0,19.5799999,yes,0.605000019,8.375,93.9000015,2.16199994,5,403,14.6999998,3.31999993,50
Cambridge,-71.0917969,42.2265015,2.24236012,0,19.5799999,no,0.605000019,5.85400009,91.8000031,2.42199993,5,403,14.6999998,11.6400003,22.7000008
Cambridge,-71.0820007,42.2294998,2.92400002,0,19.5799999,no,0.605000019,6.10099983,93,2.28340006,5,403,14.6999998,9.81000042,25
Cambridge,-71.0770035,42.2304993,2.01019001,0,19.5799999,no,0.605000019,7.9289999,96.1999969,2.04590011,5,403,14.6999998,3.70000005,50
Cambridge,-71.0866013,42.2345009,1.80027997,0,19.5799999,no,0.605000019,5.87699986,79.1999969,2.42589998,5,403,14.6999998,12.1400003,23.7999992
Cambridge,-71.0739975,42.2331009,2.30040002,0,19.5799999,no,0.605000019,6.31899977,96.0999985,2.0999999,5,403,14.6999998,11.1000004,23.7999992
Cambridge,-71.0774994,42.2350998,2.44952989,0,19.5799999,no,0.605000019,6.40199995,95.1999969,2.26250005,5,403,14.6999998,11.3199997,22.2999992
Cambridge,-71.0810013,42.2368011,1.20741999,0,19.5799999,no,0.605000019,5.875,94.5999985,2.42589998,5,403,14.6999998,14.4300003,17.3999996
Cambridge,-71.0792007,42.2389984,2.31389999,0,19.5799999,no,0.605000019,5.88000011,97.3000031,2.38870001,5,403,14.6999998,12.0299997,19.1000004
Arlington,-71.086998,42.2416,0.139139995,0,4.05000019,no,0.50999999,5.57200003,88.5,2.59610009,5,296,16.6000004,14.6899996,23.1000004
Arlington,-71.0855026,42.2449989,0.091779999,0,4.05000019,no,0.50999999,6.41599989,84.0999985,2.64630008,5,296,16.6000004,9.03999996,23.6000004
Arlington,-71.0832977,42.2475014,0.084469996,0,4.05000019,no,0.50999999,5.85900021,68.6999969,2.70190001,5,296,16.6000004,9.64000034,22.6000004
Arlington,-71.0940018,42.2574997,0.066639997,0,4.05000019,no,0.50999999,6.546,33.0999985,3.1322999,5,296,16.6000004,5.32999992,29.3999996
Arlington,-71.1125031,42.2550011,0.070220001,0,4.05000019,no,0.50999999,6.01999998,47.2000008,3.55489993,5,296,16.6000004,10.1099997,23.2000008
Arlington,-71.1060028,42.2512016,0.054249998,0,4.05000019,no,0.50999999,6.31500006,73.4000015,3.31750011,5,296,16.6000004,6.28999996,24.6000004
