CIE (1931) 2-deg color matching functions
Wavelength (nm)	xbar	ybar	zbar
423	0.1819831	0.00582928	0.8778459
424	0.198611	0.00654616	0.959439
425	0.21477	0.0073	1.0390501
426	0.2301868	0.008086507	1.1153673
427	0.2448797	0.00890872	1.1884971
428	0.2587773	0.00976768	1.2581233
429	0.2718079	0.01066443	1.3239296
430	0.2839	0.0116	1.3856
431	0.2949438	0.01257317	1.4426352
432	0.3048965	0.01358272	1.4948035
433	0.3137873	0.01462968	1.5421903
434	0.3216454	0.01571509	1.5848807
435	0.3285	0.01684	1.62296
436	0.3343513	0.01800736	1.6564048
437	0.3392101	0.01921448	1.6852959
438	0.3431213	0.02045392	1.7098745
439	0.3461296	0.02171824	1.7303821
440	0.34828	0.023	1.74706
441	0.3495999	0.02429461	1.7600446
442	0.3501474	0.02561024	1.7696233
443	0.350013	0.02695857	1.7762637
444	0.349287	0.02835125	1.7804334
445	0.34806	0.0298	1.7826
446	0.3463733	0.03131083	1.7829682
447	0.3442624	0.03288368	1.7816998
448	0.3418088	0.03452112	1.7791982
449	0.3390941	0.03622571	1.7758671
450	0.3362	0.038	1.77211
451	0.3331977	0.03984667	1.7682589
452	0.3300411	0.041768	1.764039
453	0.3266357	0.043766	1.7589438
454	0.3228868	0.04584267	1.7524663
455	0.3187	0.048	1.7441
456	0.3140251	0.05024368	1.7335595
457	0.308884	0.05257304	1.7208581
458	0.3032904	0.05498056	1.7059369
459	0.2972579	0.05745872	1.6887372
460	0.2908	0.06	1.6692
461	0.2839701	0.06260197	1.6475287
462	0.2767214	0.06527752	1.6234127
463	0.2689178	0.06804208	1.5960223
464	0.2604227	0.07091109	1.564528
465	0.2511	0.0739	1.5281
466	0.2408475	0.077016	1.4861114
467	0.2298512	0.0802664	1.4395215
468	0.2184072	0.0836668	1.3898799
469	0.2068115	0.0872328	1.3387362
470	0.19536	0.09098	1.28764
471	0.1842136	0.09491755	1.2374223
472	0.1733273	0.09904584	1.1878243
473	0.1626881	0.1033674	1.1387611
474	0.1522833	0.1078846	1.090148
475	0.1421	0.1126	1.0419
476	0.1321786	0.117532	0.9941976
477	0.1225696	0.1226744	0.9473473
478	0.1132752	0.1279928	0.9014531
479	0.1042979	0.1334528	0.8566193
480	0.09564	0.13902	0.8129501
481	0.08729955	0.1446764	0.7705173
482	0.07930804	0.1504693	0.7294448
483	0.07171776	0.1564619	0.6899136
484	0.06458099	0.1627177	0.6521049
485	0.05795001	0.1693	0.6162
486	0.05186211	0.1762431	0.5823286
487	0.04628152	0.1835581	0.5504162
488	0.04115088	0.1912735	0.5203376
489	0.03641283	0.199418	0.4919673
490	0.03201	0.20802	0.46518
491	0.0279172	0.2171199	0.4399246
492	0.0241444	0.2267345	0.4161836
493	0.020687	0.2368571	0.3938822
494	0.0175404	0.2474812	0.3729459
495	0.0147	0.2586	0.3533
496	0.01216179	0.2701849	0.3348578
497	0.00991996	0.2822939	0.3175521
498	0.00796724	0.2950505	0.3013375
499	0.006296346	0.308578	0.2861686
500	0.0049	0.323	0.272
501	0.003777173	0.3384021	0.2588171
502	0.00294532	0.3546858	0.2464838
503	0.00242488	0.3716986	0.2347718
504	0.002236293	0.3892875	0.2234533
505	0.0024	0.4073	0.2123
506	0.00292552	0.4256299	0.2011692
507	0.00383656	0.4443096	0.1901196
508	0.00517484	0.4633944	0.1792254
509	0.00698208	0.4829395	0.1685608
510	0.0093	0.503	0.1582
511	0.01214949	0.5235693	0.1481383
512	0.01553588	0.544512	0.1383758
513	0.01947752	0.56569	0.1289942
514	0.02399277	0.5869653	0.1200751
515	0.0291	0.6082	0.1117
516	0.03481485	0.6293456	0.1039048
517	0.04112016	0.6503068	0.09666748
518	0.04798504	0.6708752	0.08998272
519	0.05537861	0.6908424	0.08384531
520	0.06327	0.71	0.07824999
521	0.07163501	0.7281852	0.07320899
522	0.08046224	0.7454636	0.06867816
523	0.08973996	0.7619694	0.06456784
524	0.09945645	0.7778368	0.06078835
525	0.1096	0.7932	0.05725001
526	0.1201674	0.8081104	0.05390435
527	0.1311145	0.8224962	0.05074664
528	0.1423679	0.8363068	0.04775276
529	0.1538542	0.8494916	0.04489859
530	0.1655	0.862	0.04216
531	0.1772571	0.8738108	0.03950728
532	0.18914	0.8849624	0.03693564
533	0.2011694	0.8954936	0.03445836
534	0.2133658	0.9054432	0.03208872
535	0.2257499	0.9148501	0.02984
536	0.2383209	0.9237348	0.02771181
537	0.2510668	0.9320924	0.02569444
538	0.2639922	0.9399226	0.02378716
539	0.2771017	0.9472252	0.02198925
540	0.2904	0.954	0.0203
541	0.3038912	0.9602561	0.01871805
542	0.3175726	0.9660074	0.01724036
543	0.3314384	0.9712606	0.01586364
544	0.3454828	0.9760225	0.01458461
545	0.3597	0.9803	0.0134
546	0.3740839	0.9840924	0.01230723
547	0.3886396	0.9874182	0.01130188
548	0.4033784	0.9903128	0.01037792
549	0.4183115	0.9928116	0.009529306
550	0.4334499	0.9949501	0.008749999
551	0.4487953	0.9967108	0.0080352
552	0.464336	0.9980983	0.0073816
553	0.480064	0.999112	0.0067854
554	0.4959713	0.9997482	0.0062428
555	0.5120501	1	0.005749999
556	0.5282959	0.9998567	0.0053036
557	0.5446916	0.9993046	0.0048998
558	0.5612094	0.9983255	0.0045342
559	0.5778215	0.9968987	0.0042024
560	0.5945	0.995	0.0039
561	0.6112209	0.9926005	0.0036232
562	0.6279758	0.9897426	0.0033706
563	0.6447602	0.9864444	0.0031414
564	0.6615697	0.9827241	0.0029348
565	0.6784	0.9786	0.002749999
566	0.6952392	0.9740837	0.0025852
567	0.7120586	0.9691712	0.0024386
568	0.7288284	0.9638568	0.0023094
569	0.7455188	0.9581349	0.0021968
570	0.7621	0.952	0.0021
571	0.7785432	0.9454504	0.002017733
572	0.7948256	0.9384992	0.0019482
573	0.8109264	0.9311628	0.0018898
574	0.8268248	0.9234576	0.001840933
575	0.8425	0.9154	0.0018
576	0.8579325	0.9070064	0.001766267
577	0.8730816	0.8982772	0.0017378
578	0.8878944	0.8892048	0.0017112
579	0.9023181	0.8797816	0.001683067
580	0.9163	0.87	0.001650001
581	0.9297995	0.8598613	0.001610133
582	0.9427984	0.849392	0.0015644
583	0.9552776	0.838622	0.0015136
584	0.9672179	0.8275813	0.001458533
585	0.9786	0.8163	0.0014
586	0.9893856	0.8047947	0.001336667
587	0.9995488	0.793082	0.00127
588	1.0090892	0.781192	0.001205
589	1.0180064	0.7691547	0.001146667
590	1.0263	0.757	0.0011
591	1.0339827	0.7447541	0.0010688
592	1.040986	0.7324224	0.0010494
593	1.047188	0.7200036	0.0010356
594	1.0524667	0.7074965	0.0010212
595	1.0567	0.6949	0.001
596	1.0597944	0.6822192	0.00096864
597	1.0617992	0.6694716	0.00092992
598	1.0628068	0.6566744	0.00088688
599	1.0629096	0.6438448	0.00084256
600	1.0622	0.631	0.0008
601	1.0607352	0.6181555	0.00076096
602	1.0584436	0.6053144	0.00072368
603	1.0552244	0.5924756	0.00068592
604	1.0509768	0.5796379	0.00064544
605	1.0456	0.5668	0.0006
606	1.0390369	0.5539611	0.0005478667
607	1.0313608	0.5411372	0.0004916
608	1.0226662	0.5283528	0.0004354
609	1.0130477	0.5156323	0.0003834667
610	1.0026	0.503	0.00034
611	0.9913675	0.4904688	0.0003072533
612	0.9793314	0.4780304	0.00028316
613	0.9664916	0.4656776	0.00026544
614	0.9528479	0.4534032	0.0002518133
615	0.9384	0.4412	0.00024
616	0.923194	0.42908	0.0002295467
617	0.907244	0.417036	0.00022064
618	0.890502	0.405032	0.00021196
619	0.87292	0.393032	0.0002021867
620	0.8544499	0.381	0.00019
621	0.835084	0.3689184	0.0001742133
622	0.814946	0.3568272	0.00015564
623	0.794186	0.3447768	0.00013596
624	0.772954	0.3328176	0.0001168533
625	0.7514	0.321	0.0001
626	0.7295836	0.3093381	8.613333E-005
627	0.7075888	0.2978504	0.0000746
628	0.6856022	0.2865936	0.000065
629	0.6638104	0.2756245	5.693333E-005
630	0.6424	0.265	0.00005
631	0.6215149	0.2547632	0.00004416
632	0.6011138	0.2448896	0.00003948
633	0.5811052	0.2353344	0.00003572
634	0.5613977	0.2260528	0.00003264
635	0.5419	0.217	0.00003
636	0.5225995	0.2081616	2.765333E-005
637	0.5035464	0.1995488	0.00002556
638	0.4847436	0.1911552	0.00002364
639	0.4661939	0.1829744	2.181333E-005
640	0.4479	0.175	0.00002
641	0.4298613	0.1672235	1.813333E-005
642	0.412098	0.1596464	0.0000162
643	0.394644	0.1522776	0.0000142
644	0.3775333	0.1451259	1.213333E-005
645	0.3608	0.1382	0.00001
646	0.3444563	0.1315003	7.733333E-006
647	0.3285168	0.1250248	0.0000054
648	0.3130192	0.1187792	0.0000032
649	0.2980011	0.1127691	1.333333E-006
650	0.2835	0.107	0
651	0.2695448	0.1014762	0
652	0.2561184	0.09618864	0
653	0.2431896	0.09112296	0
654	0.2307272	0.08626485	0
655	0.2187	0.0816	0
656	0.2070971	0.07712064	0
657	0.1959232	0.07282552	0
658	0.1851708	0.06871008	0
659	0.1748323	0.06476976	0
660	0.1649	0.061	0
661	0.1553667	0.05739621	0
662	0.14623	0.05395504	0
663	0.13749	0.05067376	0
664	0.1291467	0.04754965	0
665	0.1212	0.04458	0
666	0.1136397	0.04175872	0
667	0.106465	0.03908496	0
668	0.09969044	0.03656384	0
669	0.09333061	0.03420048	0
670	0.0874	0.032	0
671	0.08190096	0.02996261	0
672	0.07680428	0.02807664	0
673	0.07207712	0.02632936	0
674	0.06768664	0.02470805	0
675	0.0636	0.0232	0
676	0.05980685	0.02180077	0
677	0.05628216	0.02050112	0
678	0.05297104	0.01928108	0
679	0.04981861	0.01812069	0
680	0.04677	0.017	0
681	0.04378405	0.01590379	0
682	0.04087536	0.01483718	0
683	0.03807264	0.01381068	0
684	0.03540461	0.01283478	0
685	0.0329	0.01192	0
686	0.03056419	0.01106831	0
687	0.02838056	0.01027339	0
688	0.02634484	0.009533311	0
689	0.02445275	0.008846157	0
690	0.0227	0.00821	0
691	0.02108429	0.007623781	0
692	0.01959988	0.007085424	0
693	0.01823732	0.006591476	0
694	0.01698717	0.006138485	0
695	0.01584	0.005723	0
696	0.01479064	0.005343059	0
697	0.01383132	0.004995796	0
698	0.01294868	0.004676404	0
699	0.0121292	0.004380075	0
700	0.01135916	0.004102	0
701	0.01062935	0.003838453	0
702	0.009938846	0.003589099	0
703	0.009288422	0.003354219	0
704	0.008678854	0.003134093	0
705	0.008110916	0.002929	0
706	0.007582388	0.002738139	0
707	0.007088746	0.002559876	0
708	0.006627313	0.002393244	0
709	0.006195408	0.002237275	0
710	0.005790346	0.002091	0
711	0.005409826	0.001953587	0
712	0.005052583	0.00182458	0
713	0.004717512	0.00170358	0
714	0.004403507	0.001590187	0
715	0.004109457	0.001484	0
716	0.003833913	0.001384496	0
717	0.003575748	0.001291268	0
718	0.003334342	0.001204092	0
719	0.003109075	0.001122744	0
720	0.002899327	0.001047	0
721	0.002704348	0.0009765896	0
722	0.00252302	0.0009111088	0
723	0.002354168	0.0008501332	0
724	0.002196616	0.0007932384	0
725	0.00204919	0.00074	0
726	0.00191096	0.0006900827	0
727	0.001781438	0.00064331	0
728	0.00166011	0.000599496	0
729	0.001546459	0.0005584547	0
730	0.001439971	0.00052	0
731	0.001340042	0.0004839136	0
732	0.001246275	0.0004500528	0
733	0.001158471	0.0004183452	0
734	0.00107643	0.0003887184	0
735	0.0009999493	0.0003611	0
736	0.0009287358	0.0003353835	0
737	0.0008624332	0.0003114404	0
738	0.0008007503	0.0002891656	0
739	0.000743396	0.0002684539	0
740	0.0006900786	0.0002492	0
741	0.0006405156	0.0002313019	0
742	0.0005945021	0.0002146856	0
743	0.0005518646	0.0001992884	0
744	0.000512429	0.0001850475	0
745	0.0004760213	0.0001719	0
746	0.0004424536	0.0001597781	0
747	0.0004115117	0.0001486044	0
748	0.0003829814	0.0001383016	0
749	0.0003566491	0.0001287925	0
750	0.0003323011	0.00012	0
751	0.0003097586	0.0001118595	0
752	0.0002888871	0.0001043224	0
753	0.0002695394	9.73356E-005	0
754	0.0002515682	9.084587E-005	0
755	0.0002348261	0.0000848	0
756	0.000219171	7.914667E-005	0
757	0.0002045258	0.000073858	0
758	0.0001908405	0.000068916	0
759	0.0001780654	6.430267E-005	0
760	0.0001661505	0.00006	0
761	0.0001550236	5.598187E-005	0
762	0.0001446219	5.22256E-005	0
763	0.0001349098	4.87184E-005	0
764	0.000125852	4.544747E-005	0
765	0.000117413	0.0000424	0
766	0.0001095515	0.000039561	0
767	0.0001022245	3.691512E-005	0
768	9.539445E-005	3.444868E-005	0
769	8.90239E-005	3.214816E-005	0
770	8.307527E-005	0.00003	0
771	7.751269E-005	2.799125E-005	0
772	0.000072313	2.611356E-005	0
773	6.745778E-005	2.436024E-005	0
774	6.292844E-005	2.272461E-005	0
775	5.870652E-005	0.0000212	0
776	5.477028E-005	1.977855E-005	0
777	5.109918E-005	1.845285E-005	0
778	4.767654E-005	1.721687E-005	0
779	4.448567E-005	1.606459E-005	0
780	4.150994E-005	0.00001499	0
781	3.873324E-005	1.398728E-005	0
782	0.000036142	1.305155E-005	0
783	3.372352E-005	1.217818E-005	0
784	3.146487E-005	1.136254E-005	0
785	2.935326E-005	0.0000106	0
786	2.737573E-005	9.885877E-006	0
787	2.552433E-005	9.217304E-006	0
788	2.379376E-005	8.592362E-006	0
789	2.21787E-005	8.009133E-006	0
790	2.067383E-005	7.4657E-006	0
791	1.927226E-005	6.959567E-006	0
792	1.79664E-005	0.000006488	0
793	1.674991E-005	6.048699E-006	0
794	1.561648E-005	5.639396E-006	0
795	1.455977E-005	5.2578E-006	0
796	1.357387E-005	4.901771E-006	0
797	1.265436E-005	4.56972E-006	0
798	1.179723E-005	4.260194E-006	0
799	1.099844E-005	3.971739E-006	0
800	0.000010254	3.7029E-006	0
801	9.559646E-006	3.452163E-006	0
802	0.000008912	3.218302E-006	0
803	8.308358E-006	3.0003E-006	0
804	7.745769E-006	2.797139E-006	0
805	7.221456E-006	2.6078E-006	0
806	6.732475E-006	2.43122E-006	0
807	6.276423E-006	2.266531E-006	0
808	5.851304E-006	0.000002113	0
809	5.455118E-006	1.969943E-006	0
810	5.085868E-006	1.8366E-006	0
811	4.741466E-006	1.71223E-006	0
812	4.420236E-006	1.596228E-006	0
813	4.120783E-006	1.48809E-006	0
814	3.841716E-006	1.387314E-006	0
815	3.581652E-006	1.2934E-006	0
816	3.339127E-006	1.20582E-006	0
817	3.112949E-006	1.124143E-006	0
818	2.902121E-006	0.000001048	0
819	2.705645E-006	9.770578E-007	0
820	2.522525E-006	9.1093E-007	0
821	2.351726E-006	8.492513E-007	0
822	2.192415E-006	7.917212E-007	0
823	2.043902E-006	7.380904E-007	0
824	1.905497E-006	6.881098E-007	0
825	1.776509E-006	6.4153E-007	0
826	1.656215E-006	5.980895E-007	0
827	0.000001544	5.575746E-007	0
828	1.43944E-006	5.19808E-007	0
829	0.000001342	4.846123E-007	0
830	1.251141E-006	4.5181E-007	0
