name,rgba,rgb,value,SRGB,HSB,AdobeRGB,AppleRGB,EciRGB,SRGBLinear,AdobeRGBLinear,AppleRGBLinear,CalculatedCMYK,EciCMYK,AdobeCMYK,XYZ,CieLab,Lchab,CieLuv,Lchuv,PaletteIndex
草绿,0X349E00FF,"#349E00",-13328896,52 158 0 100%,100 100% 62%,98 157 37,53 143 0,108 168 29,9 87 0,31 87 4,15 91 0,67 0 100 38,73 11 99 0,76 5 100 0,0.146634 0.252752 0.03368,57.34 -49.25 57.59,57.34 75.78 130.53,57.34 -47.66 56.01,57.34 73.55 130.4,12.0
中绿,0X008000FF,"#008000",-16744448,0 128 0 100%,120 100% 50%,72 127 30,26 111 0,79 138 18,0 55 0,16 55 2,4 57 0,100 0 100 50,81 20 100 0,87 18 100 7,0.08312 0.154746 0.020961,46.28 -47.56 48.58,46.28 67.99 134.39,46.28 -44.76 45.97,46.28 64.16 134.23,13.0
青葱,0X009E4FFF,"#009E4F",-16736689,0 158 79 100%,150 100% 62%,88 157 85,33 143 58,99 167 90,0 87 20,25 87 23,7 90 18,100 0 50 38,83 10 87 0,81 6 87 0,0.142846 0.249851 0.089041,57.06 -50.35 30.75,57.06 59.0 148.59,57.06 -53.21 39.14,57.06 66.06 143.66,14.0
粉绿,0X00BF8FFF,"#00BF8F",-16728177,0 191 143 100%,165 100% 75%,107 190 144,41 181 122,122 198 152,0 133 70,38 133 73,10 137 68,100 0 25 25,84 1 67 0,72 0 53 0,0.239918 0.390141 0.246758,68.76 -50.87 12.4,68.76 52.36 166.3,68.76 -61.41 23.11,68.76 65.61 159.38,16.0
天蓝,0X00BBE0FF,"#00BBE0",-16729120,0 187 224 100%,190 100% 88%,105 186 222,37 174 218,125 191 225,0 127 190,36 127 187,8 129 192,100 17 0 12,78 1 4 0,72 3 11 0,0.298004 0.401425 0.580602,69.57 -30.79 -30.35,69.57 43.23 224.59,69.57 -55.43 -36.08,69.57 66.14 213.06,17.0
湖兰,0X0080FFFF,"#0080FF",-16744193,0 128 255 100%,210 100% 100%,72 127 251,15 107 255,96 127 250,0 55 255,16 55 247,1 53 255,100 50 0 0,90 39 0 0,86 52 0 0,0.226201 0.215363 0.735134,53.53 8.67 -72.56,53.53 73.07 276.81,53.53 -34.35 -101.43,53.53 107.09 251.29,18.0
群青,0X004AE0FF,"#004AE0",-16758048,0 74 224 100%,220 100% 88%,43 75 219,0 53 220,65 61 223,0 17 190,5 17 183,0 15 196,100 67 0 12,95 63 0 0,97 73 0 0,0.133021 0.094275 0.538997,36.79 30.79 -82.5,36.79 88.06 290.47,36.79 -19.61 -105.19,36.79 107.01 259.44,19.0
中蓝,0X0C00BFFF,"#0C00BF",-15990593,12 0 191 100%,244 100% 75%,17 0 186,0 0 181,39 0 193,1 0 133,1 0 127,0 0 137,94 100 0 25,99 81 3 0,100 82 23 1,0.076147 0.032399 0.372132,20.98 55.12 -89.61,20.98 105.21 301.6,20.98 -7.55 -85.74,20.98 86.07 264.96,19.5
青莲,0X4F009EFF,"#4F009E",-11599714,79 0 158 100%,270 100% 62%,69 0 154,58 0 143,77 0 163,20 0 87,14 0 84,18 0 90,50 100 0 38,93 99 2 0,96 100 7 4,0.083017 0.038123 0.245275,23.04 52.5 -66.16,23.04 84.46 308.43,23.04 8.87 -72.29,23.04 72.84 277.0,20.0
紫色,0X800080FF,"#800080",-8388480,128 0 128 100%,300 100% 50%,109 0 125,104 0 111,116 0 134,55 0 55,39 0 53,51 0 57,0 100 0 50,58 100 36 0,71 100 15 6,0.125017 0.061115 0.157169,29.69 56.12 -36.29,29.69 66.83 327.11,29.69 46.82 -48.09,29.69 67.12 314.23,21.0
品红,0X9E004FFF,"#9E004F",-6422449,158 0 79 100%,330 100% 62%,134 0 79,135 0 63,140 5 87,87 0 20,62 0 19,81 0 21,0 100 50 38,37 97 56 0,34 100 42 16,0.160287 0.080817 0.060603,34.15 58.75 2.72,34.15 58.81 2.65,34.15 90.27 -8.94,34.15 90.71 354.35,22.0
玫瑰红,0XBF0039FF,"#BF0039",-4259783,191 0 57 100%,342 100% 75%,163 0 58,171 0 44,167 14 66,133 0 10,95 0 10,124 0 11,0 100 70 25,19 98 72 0,17 100 71 8,0.233047 0.118404 0.036479,40.96 65.93 27.49,40.96 71.43 22.64,40.96 122.93 7.95,40.96 123.19 3.7,23.0
深红,0XE0001DFF,"#E0001D",-2097123,224 0 29 100%,352 100% 88%,192 0 34,208 0 22,193 24 45,190 0 3,136 0 3,177 0 3,0 100 87 12,1 100 92 0,7 100 98 1,0.32681 0.166601 0.01916,47.83 73.49 52.99,47.83 90.6 35.8,47.83 151.85 19.87,47.83 153.15 7.46,24.0
