# 数据名: 欧洲赤膀鸭的秋季迁徙模式
标签,经度,纬度,坐标系统,开始时间,结束时间,说明
漈凫,11.743,48.209,WGS_84,2009-8-9 23:0:0,2009-8-9 23:0:0,gps
漈凫,11.7435,48.2115,WGS_84,2009-8-10 9:0:0,2009-8-10 9:0:0,gps
漈凫,11.74133,48.211,WGS_84,2009-8-10 11:0:0,2009-8-10 11:0:0,gps
漈凫,11.741,48.211,WGS_84,2009-8-10 13:0:0,2009-8-10 13:0:0,gps
漈凫,11.74233,48.21,WGS_84,2009-8-10 17:0:0,2009-8-10 17:0:0,gps
漈凫,11.74267,48.20983,WGS_84,2009-8-10 18:0:0,2009-8-10 18:0:0,gps
漈凫,11.74233,48.21,WGS_84,2009-8-10 23:0:0,2009-8-10 23:0:0,gps
漈凫,11.74183,48.21083,WGS_84,2009-8-11 5:0:0,2009-8-11 5:0:0,gps
漈凫,11.74133,48.21067,WGS_84,2009-8-11 7:0:0,2009-8-11 7:0:0,gps
漈凫,11.74117,48.211,WGS_84,2009-8-11 9:0:0,2009-8-11 9:0:0,gps
漈凫,11.74117,48.21117,WGS_84,2009-8-11 11:0:0,2009-8-11 11:0:0,gps
漈凫,11.743,48.21167,WGS_84,2009-8-11 17:0:0,2009-8-11 17:0:0,gps
漈凫,11.74283,48.21,WGS_84,2009-8-11 18:0:0,2009-8-11 18:0:0,gps
漈凫,11.74317,48.21117,WGS_84,2009-8-11 23:0:0,2009-8-11 23:0:0,gps
漈凫,11.7425,48.211,WGS_84,2009-8-12 5:0:0,2009-8-12 5:0:0,gps
漈凫,11.74133,48.20967,WGS_84,2009-8-12 7:0:0,2009-8-12 7:0:0,gps
漈凫,11.74267,48.211,WGS_84,2009-8-12 9:0:0,2009-8-12 9:0:0,gps
漈凫,11.74117,48.2105,WGS_84,2009-8-12 11:0:0,2009-8-12 11:0:0,gps
漈凫,11.73833,48.2105,WGS_84,2009-8-12 13:0:0,2009-8-12 13:0:0,gps
漈凫,11.73933,48.21017,WGS_84,2009-8-12 17:0:0,2009-8-12 17:0:0,gps
漈凫,11.7385,48.21117,WGS_84,2009-8-12 18:0:0,2009-8-12 18:0:0,gps
漈凫,11.73567,48.209,WGS_84,2009-8-12 23:0:0,2009-8-12 23:0:0,gps
漈凫,11.73217,48.21,WGS_84,2009-8-13 5:0:0,2009-8-13 5:0:0,gps
漈凫,11.73233,48.20983,WGS_84,2009-8-13 6:0:0,2009-8-13 6:0:0,gps
漈凫,11.73233,48.20967,WGS_84,2009-8-13 9:0:0,2009-8-13 9:0:0,gps
漈凫,11.74367,48.211,WGS_84,2009-8-14 6:0:0,2009-8-14 6:0:0,gps
漈凫,11.73833,48.21033,WGS_84,2009-8-14 9:0:0,2009-8-14 9:0:0,gps
漈凫,11.73817,48.211,WGS_84,2009-8-14 13:0:0,2009-8-14 13:0:0,gps
漈凫,11.741,48.21067,WGS_84,2009-8-15 6:0:0,2009-8-15 6:0:0,gps
漈凫,11.7385,48.20983,WGS_84,2009-8-15 9:0:0,2009-8-15 9:0:0,gps
漈凫,11.74233,48.211,WGS_84,2009-8-15 13:0:0,2009-8-15 13:0:0,gps
漈凫,11.74117,48.21067,WGS_84,2009-8-16 5:0:0,2009-8-16 5:0:0,gps
漈凫,11.741,48.21017,WGS_84,2009-8-16 6:0:0,2009-8-16 6:0:0,gps
漈凫,11.74117,48.211,WGS_84,2009-8-16 9:0:0,2009-8-16 9:0:0,gps
漈凫,11.74133,48.21033,WGS_84,2009-8-16 13:0:0,2009-8-16 13:0:0,gps
漈凫,11.74133,48.21,WGS_84,2009-8-17 5:0:0,2009-8-17 5:0:0,gps
漈凫,11.7415,48.21033,WGS_84,2009-8-17 6:0:0,2009-8-17 6:0:0,gps
漈凫,11.739,48.20983,WGS_84,2009-8-17 13:0:0,2009-8-17 13:0:0,gps
漈凫,11.73317,48.21033,WGS_84,2009-8-18 11:0:0,2009-8-18 11:0:0,gps
漈凫,11.73433,48.21,WGS_84,2009-8-18 13:0:0,2009-8-18 13:0:0,gps
漈凫,11.73233,48.2105,WGS_84,2009-8-18 16:0:0,2009-8-18 16:0:0,gps
漈凫,11.73267,48.21,WGS_84,2009-8-18 17:0:0,2009-8-18 17:0:0,gps
漈凫,11.74083,48.21067,WGS_84,2009-8-19 11:0:0,2009-8-19 11:0:0,gps
漈凫,11.74367,48.211,WGS_84,2009-8-19 13:0:0,2009-8-19 13:0:0,gps
漈凫,11.74233,48.21117,WGS_84,2009-8-19 16:0:0,2009-8-19 16:0:0,gps
漈凫,11.74133,48.21067,WGS_84,2009-8-19 17:0:0,2009-8-19 17:0:0,gps
漈凫,11.7495,48.21367,WGS_84,2009-8-20 11:0:0,2009-8-20 11:0:0,gps
漈凫,11.74267,48.21117,WGS_84,2009-8-20 13:0:0,2009-8-20 13:0:0,gps
漈凫,11.74133,48.21083,WGS_84,2009-8-20 16:0:0,2009-8-20 16:0:0,gps
漈凫,11.74,48.21117,WGS_84,2009-8-20 17:0:0,2009-8-20 17:0:0,gps
漈凫,11.74333,48.2105,WGS_84,2009-8-21 11:0:0,2009-8-21 11:0:0,gps
漈凫,11.74333,48.2105,WGS_84,2009-8-21 13:0:0,2009-8-21 13:0:0,gps
漈凫,11.74383,48.21067,WGS_84,2009-8-21 16:0:0,2009-8-21 16:0:0,gps
漈凫,11.744,48.21067,WGS_84,2009-8-21 17:0:0,2009-8-21 17:0:0,gps
漈凫,11.7405,48.211,WGS_84,2009-8-22 11:0:0,2009-8-22 11:0:0,gps
漈凫,11.7445,48.2105,WGS_84,2009-8-22 17:0:0,2009-8-22 17:0:0,gps
漈凫,11.74233,48.20883,WGS_84,2009-8-23 6:0:0,2009-8-23 6:0:0,gps
漈凫,11.74333,48.209,WGS_84,2009-8-23 9:0:0,2009-8-23 9:0:0,gps
漈凫,11.74133,48.20883,WGS_84,2009-8-24 5:0:0,2009-8-24 5:0:0,gps
漈凫,11.74117,48.20883,WGS_84,2009-8-24 6:0:0,2009-8-24 6:0:0,gps
漈凫,11.74267,48.20883,WGS_84,2009-8-24 9:0:0,2009-8-24 9:0:0,gps
漈凫,11.74333,48.21067,WGS_84,2009-8-25 5:0:0,2009-8-25 5:0:0,gps
漈凫,11.74117,48.21067,WGS_84,2009-8-25 6:0:0,2009-8-25 6:0:0,gps
漈凫,11.74067,48.21133,WGS_84,2009-8-25 9:0:0,2009-8-25 9:0:0,gps
漈凫,11.7385,48.209,WGS_84,2009-8-26 5:0:0,2009-8-26 5:0:0,gps
漈凫,11.7385,48.20917,WGS_84,2009-8-26 6:0:0,2009-8-26 6:0:0,gps
漈凫,11.73867,48.20933,WGS_84,2009-8-26 9:0:0,2009-8-26 9:0:0,gps
漈凫,11.73817,48.209,WGS_84,2009-8-27 5:0:0,2009-8-27 5:0:0,gps
漈凫,11.73833,48.20917,WGS_84,2009-8-27 6:0:0,2009-8-27 6:0:0,gps
漈凫,11.73833,48.2095,WGS_84,2009-8-27 9:0:0,2009-8-27 9:0:0,gps
漈凫,11.74083,48.21033,WGS_84,2009-8-28 5:0:0,2009-8-28 5:0:0,gps
漈凫,11.741,48.21067,WGS_84,2009-8-28 13:0:0,2009-8-28 13:0:0,gps
漈凫,11.74133,48.209,WGS_84,2009-8-28 16:0:0,2009-8-28 16:0:0,gps
漈凫,11.74117,48.20917,WGS_84,2009-8-28 17:0:0,2009-8-28 17:0:0,gps
漈凫,11.73967,48.20917,WGS_84,2009-8-28 18:0:0,2009-8-28 18:0:0,gps
漈凫,11.73867,48.209,WGS_84,2009-8-29 5:0:0,2009-8-29 5:0:0,gps
漈凫,11.73867,48.20933,WGS_84,2009-8-29 13:0:0,2009-8-29 13:0:0,gps
漈凫,11.73883,48.20933,WGS_84,2009-8-29 16:0:0,2009-8-29 16:0:0,gps
漈凫,11.73883,48.209,WGS_84,2009-8-29 17:0:0,2009-8-29 17:0:0,gps
漈凫,11.73833,48.21017,WGS_84,2009-8-29 18:0:0,2009-8-29 18:0:0,gps
漈凫,11.741,48.2095,WGS_84,2009-8-30 5:0:0,2009-8-30 5:0:0,gps
漈凫,11.7415,48.2115,WGS_84,2009-8-30 13:0:0,2009-8-30 13:0:0,gps
漈凫,11.741,48.2095,WGS_84,2009-8-30 18:0:0,2009-8-30 18:0:0,gps
漈凫,11.74133,48.20933,WGS_84,2009-8-31 5:0:0,2009-8-31 5:0:0,gps
漈凫,11.74683,48.21033,WGS_84,2009-8-31 13:0:0,2009-8-31 13:0:0,gps
漈凫,11.7465,48.2105,WGS_84,2009-8-31 16:0:0,2009-8-31 16:0:0,gps
漈凫,11.74583,48.21017,WGS_84,2009-8-31 17:0:0,2009-8-31 17:0:0,gps
漈凫,11.7455,48.2095,WGS_84,2009-8-31 18:0:0,2009-8-31 18:0:0,gps
漈凫,11.74067,48.209,WGS_84,2009-9-1 5:0:0,2009-9-1 5:0:0,gps
漈凫,11.746,48.2105,WGS_84,2009-9-1 13:0:0,2009-9-1 13:0:0,gps
漈凫,11.74733,48.21033,WGS_84,2009-9-1 16:0:0,2009-9-1 16:0:0,gps
漈凫,11.74617,48.21033,WGS_84,2009-9-1 17:0:0,2009-9-1 17:0:0,gps
漈凫,11.745,48.20933,WGS_84,2009-9-1 18:0:0,2009-9-1 18:0:0,gps
漈凫,11.7125,48.20617,WGS_84,2009-9-2 6:0:0,2009-9-2 6:0:0,gps
漈凫,11.7105,48.2065,WGS_84,2009-9-2 9:0:0,2009-9-2 9:0:0,gps
漈凫,11.71167,48.20667,WGS_84,2009-9-2 13:0:0,2009-9-2 13:0:0,gps
漈凫,11.712,48.20633,WGS_84,2009-9-2 16:0:0,2009-9-2 16:0:0,gps
漈凫,11.71217,48.20633,WGS_84,2009-9-2 17:0:0,2009-9-2 17:0:0,gps
漈凫,11.71217,48.20717,WGS_84,2009-9-2 18:0:0,2009-9-2 18:0:0,gps
漈凫,11.74217,48.2095,WGS_84,2009-9-2 23:0:0,2009-9-2 23:0:0,gps
漈凫,11.7125,48.20617,WGS_84,2009-9-3 6:0:0,2009-9-3 6:0:0,gps
漈凫,11.71233,48.20533,WGS_84,2009-9-3 9:0:0,2009-9-3 9:0:0,gps
漈凫,11.73967,48.20917,WGS_84,2009-9-3 13:0:0,2009-9-3 13:0:0,gps
漈凫,11.71267,48.20567,WGS_84,2009-9-3 16:0:0,2009-9-3 16:0:0,gps
漈凫,11.71117,48.20767,WGS_84,2009-9-3 17:0:0,2009-9-3 17:0:0,gps
漈凫,11.712,48.20667,WGS_84,2009-9-3 18:0:0,2009-9-3 18:0:0,gps
漈凫,11.71333,48.20767,WGS_84,2009-9-3 23:0:0,2009-9-3 23:0:0,gps
漈凫,11.741,48.21067,WGS_84,2009-9-4 6:0:0,2009-9-4 6:0:0,gps
漈凫,11.73883,48.20883,WGS_84,2009-9-4 9:0:0,2009-9-4 9:0:0,gps
漈凫,11.7125,48.20617,WGS_84,2009-9-4 13:0:0,2009-9-4 13:0:0,gps
漈凫,11.71217,48.20733,WGS_84,2009-9-4 16:0:0,2009-9-4 16:0:0,gps
漈凫,11.7105,48.20633,WGS_84,2009-9-4 17:0:0,2009-9-4 17:0:0,gps
漈凫,11.72917,48.20717,WGS_84,2009-9-4 18:0:0,2009-9-4 18:0:0,gps
漈凫,11.73483,48.20867,WGS_84,2009-9-4 23:0:0,2009-9-4 23:0:0,gps
漈凫,11.741,48.20933,WGS_84,2009-9-5 6:0:0,2009-9-5 6:0:0,gps
漈凫,11.73867,48.2095,WGS_84,2009-9-5 9:0:0,2009-9-5 9:0:0,gps
漈凫,11.73267,48.2095,WGS_84,2009-9-5 13:0:0,2009-9-5 13:0:0,gps
漈凫,11.73233,48.20983,WGS_84,2009-9-5 16:0:0,2009-9-5 16:0:0,gps
漈凫,11.73233,48.20983,WGS_84,2009-9-5 17:0:0,2009-9-5 17:0:0,gps
漈凫,11.73433,48.20833,WGS_84,2009-9-5 18:0:0,2009-9-5 18:0:0,gps
漈凫,11.73217,48.2165,WGS_84,2009-9-5 23:0:0,2009-9-5 23:0:0,gps
漈凫,11.74117,48.21067,WGS_84,2009-9-6 6:0:0,2009-9-6 6:0:0,gps
漈凫,11.73333,48.20933,WGS_84,2009-9-6 9:0:0,2009-9-6 9:0:0,gps
漈凫,11.73233,48.20983,WGS_84,2009-9-6 13:0:0,2009-9-6 13:0:0,gps
漈凫,11.74,48.20967,WGS_84,2009-9-6 16:0:0,2009-9-6 16:0:0,gps
漈凫,11.73967,48.20967,WGS_84,2009-9-6 17:0:0,2009-9-6 17:0:0,gps
漈凫,11.74017,48.20967,WGS_84,2009-9-6 18:0:0,2009-9-6 18:0:0,gps
漈凫,11.7405,48.21,WGS_84,2009-9-6 23:0:0,2009-9-6 23:0:0,gps
漈凫,11.741,48.21067,WGS_84,2009-9-7 6:0:0,2009-9-7 6:0:0,gps
漈凫,11.742,48.21117,WGS_84,2009-9-7 9:0:0,2009-9-7 9:0:0,gps
漈凫,11.7435,48.2115,WGS_84,2009-9-7 11:0:0,2009-9-7 11:0:0,gps
漈凫,11.74333,48.2115,WGS_84,2009-9-7 13:0:0,2009-9-7 13:0:0,gps
漈凫,11.741,48.21033,WGS_84,2009-9-7 16:0:0,2009-9-7 16:0:0,gps
漈凫,11.74033,48.21067,WGS_84,2009-9-7 17:0:0,2009-9-7 17:0:0,gps
漈凫,11.741,48.21017,WGS_84,2009-9-8 6:0:0,2009-9-8 6:0:0,gps
漈凫,11.74217,48.21017,WGS_84,2009-9-8 7:0:0,2009-9-8 7:0:0,gps
漈凫,11.7425,48.21167,WGS_84,2009-9-8 9:0:0,2009-9-8 9:0:0,gps
漈凫,11.73983,48.2105,WGS_84,2009-9-8 11:0:0,2009-9-8 11:0:0,gps
漈凫,11.73967,48.21033,WGS_84,2009-9-8 13:0:0,2009-9-8 13:0:0,gps
漈凫,11.74067,48.21033,WGS_84,2009-9-8 16:0:0,2009-9-8 16:0:0,gps
漈凫,11.7405,48.20983,WGS_84,2009-9-8 17:0:0,2009-9-8 17:0:0,gps
漈凫,11.74083,48.20933,WGS_84,2009-9-8 23:0:0,2009-9-8 23:0:0,gps
漈凫,11.743,48.2115,WGS_84,2009-9-9 7:0:0,2009-9-9 7:0:0,gps
漈凫,11.7405,48.21,WGS_84,2009-9-9 9:0:0,2009-9-9 9:0:0,gps
漈凫,11.74367,48.2115,WGS_84,2009-9-9 11:0:0,2009-9-9 11:0:0,gps
漈凫,11.74867,48.21217,WGS_84,2009-9-9 16:0:0,2009-9-9 16:0:0,gps
漈凫,11.74833,48.21183,WGS_84,2009-9-9 17:0:0,2009-9-9 17:0:0,gps
漈凫,11.74633,48.2115,WGS_84,2009-9-9 23:0:0,2009-9-9 23:0:0,gps
漈凫,11.74883,48.21217,WGS_84,2009-9-10 6:0:0,2009-9-10 6:0:0,gps
漈凫,11.74117,48.21117,WGS_84,2009-9-10 11:0:0,2009-9-10 11:0:0,gps
漈凫,11.749,48.2105,WGS_84,2009-9-10 13:0:0,2009-9-10 13:0:0,gps
漈凫,11.74833,48.21167,WGS_84,2009-9-10 16:0:0,2009-9-10 16:0:0,gps
漈凫,11.7475,48.21167,WGS_84,2009-9-10 17:0:0,2009-9-10 17:0:0,gps
漈凫,11.738,48.209,WGS_84,2009-9-10 23:0:0,2009-9-10 23:0:0,gps
漈凫,11.7415,48.21133,WGS_84,2009-9-11 6:0:0,2009-9-11 6:0:0,gps
漈凫,11.7415,48.2115,WGS_84,2009-9-11 7:0:0,2009-9-11 7:0:0,gps
漈凫,11.74117,48.21083,WGS_84,2009-9-11 9:0:0,2009-9-11 9:0:0,gps
漈凫,11.7475,48.21183,WGS_84,2009-9-11 11:0:0,2009-9-11 11:0:0,gps
漈凫,11.74883,48.21133,WGS_84,2009-9-11 13:0:0,2009-9-11 13:0:0,gps
漈凫,11.7515,48.2105,WGS_84,2009-9-11 17:0:0,2009-9-11 17:0:0,gps
漈凫,11.74717,48.2105,WGS_84,2009-9-11 23:0:0,2009-9-11 23:0:0,gps
漈凫,11.7485,48.21233,WGS_84,2009-9-12 5:0:0,2009-9-12 5:0:0,gps
漈凫,11.74817,48.21267,WGS_84,2009-9-12 6:0:0,2009-9-12 6:0:0,gps
漈凫,11.75333,48.21333,WGS_84,2009-9-12 9:0:0,2009-9-12 9:0:0,gps
漈凫,11.74867,48.2115,WGS_84,2009-9-12 13:0:0,2009-9-12 13:0:0,gps
漈凫,11.74883,48.21083,WGS_84,2009-9-12 16:0:0,2009-9-12 16:0:0,gps
漈凫,11.7485,48.21083,WGS_84,2009-9-12 17:0:0,2009-9-12 17:0:0,gps
漈凫,11.74867,48.212,WGS_84,2009-9-12 18:0:0,2009-9-12 18:0:0,gps
漈凫,11.74783,48.2115,WGS_84,2009-9-12 23:0:0,2009-9-12 23:0:0,gps
漈凫,11.74283,48.2115,WGS_84,2009-9-13 5:0:0,2009-9-13 5:0:0,gps
漈凫,11.74383,48.21083,WGS_84,2009-9-13 6:0:0,2009-9-13 6:0:0,gps
漈凫,11.74333,48.21117,WGS_84,2009-9-13 9:0:0,2009-9-13 9:0:0,gps
漈凫,11.73933,48.21,WGS_84,2009-9-13 13:0:0,2009-9-13 13:0:0,gps
漈凫,11.73917,48.20967,WGS_84,2009-9-13 17:0:0,2009-9-13 17:0:0,gps
漈凫,11.73967,48.2095,WGS_84,2009-9-13 18:0:0,2009-9-13 18:0:0,gps
漈凫,11.73683,48.2095,WGS_84,2009-9-13 23:0:0,2009-9-13 23:0:0,gps
漈凫,11.74117,48.21067,WGS_84,2009-9-14 5:0:0,2009-9-14 5:0:0,gps
漈凫,11.74183,48.21083,WGS_84,2009-9-14 6:0:0,2009-9-14 6:0:0,gps
漈凫,11.74367,48.21133,WGS_84,2009-9-14 9:0:0,2009-9-14 9:0:0,gps
漈凫,11.73967,48.21033,WGS_84,2009-9-14 13:0:0,2009-9-14 13:0:0,gps
漈凫,11.73367,48.20867,WGS_84,2009-9-14 16:0:0,2009-9-14 16:0:0,gps
漈凫,11.734,48.20917,WGS_84,2009-9-14 17:0:0,2009-9-14 17:0:0,gps
漈凫,11.73433,48.21,WGS_84,2009-9-14 18:0:0,2009-9-14 18:0:0,gps
漈凫,11.732,48.21017,WGS_84,2009-9-14 23:0:0,2009-9-14 23:0:0,gps
漈凫,11.74367,48.21133,WGS_84,2009-9-15 6:0:0,2009-9-15 6:0:0,gps
漈凫,11.7435,48.21133,WGS_84,2009-9-15 7:0:0,2009-9-15 7:0:0,gps
漈凫,11.7435,48.21167,WGS_84,2009-9-15 9:0:0,2009-9-15 9:0:0,gps
漈凫,11.74567,48.21,WGS_84,2009-9-15 13:0:0,2009-9-15 13:0:0,gps
漈凫,11.74617,48.20917,WGS_84,2009-9-15 16:0:0,2009-9-15 16:0:0,gps
漈凫,11.74567,48.21033,WGS_84,2009-9-15 17:0:0,2009-9-15 17:0:0,gps
漈凫,11.7455,48.20917,WGS_84,2009-9-15 18:0:0,2009-9-15 18:0:0,gps
漈凫,11.73167,48.20733,WGS_84,2009-9-15 23:0:0,2009-9-15 23:0:0,gps
漈凫,11.74367,48.21133,WGS_84,2009-9-16 5:0:0,2009-9-16 5:0:0,gps
漈凫,11.74267,48.2115,WGS_84,2009-9-16 6:0:0,2009-9-16 6:0:0,gps
漈凫,11.74367,48.21183,WGS_84,2009-9-16 7:0:0,2009-9-16 7:0:0,gps
漈凫,11.74433,48.21083,WGS_84,2009-9-16 9:0:0,2009-9-16 9:0:0,gps
漈凫,11.746,48.21033,WGS_84,2009-9-16 13:0:0,2009-9-16 13:0:0,gps
漈凫,11.74617,48.20933,WGS_84,2009-9-16 17:0:0,2009-9-16 17:0:0,gps
漈凫,11.7465,48.21033,WGS_84,2009-9-16 18:0:0,2009-9-16 18:0:0,gps
漈凫,11.74433,48.211,WGS_84,2009-9-16 23:0:0,2009-9-16 23:0:0,gps
漈凫,11.74167,48.21783,WGS_84,2009-9-17 5:0:0,2009-9-17 5:0:0,gps
漈凫,11.7435,48.21983,WGS_84,2009-9-17 6:0:0,2009-9-17 6:0:0,gps
漈凫,11.74683,48.2115,WGS_84,2009-9-17 13:0:0,2009-9-17 13:0:0,gps
漈凫,11.74683,48.211,WGS_84,2009-9-17 17:0:0,2009-9-17 17:0:0,gps
漈凫,11.74667,48.20933,WGS_84,2009-9-17 18:0:0,2009-9-17 18:0:0,gps
漈凫,11.74333,48.21183,WGS_84,2009-9-18 6:0:0,2009-9-18 6:0:0,gps
漈凫,11.74333,48.21167,WGS_84,2009-9-18 11:0:0,2009-9-18 11:0:0,gps
漈凫,11.74333,48.2105,WGS_84,2009-9-18 13:0:0,2009-9-18 13:0:0,gps
漈凫,11.74183,48.20883,WGS_84,2009-9-18 17:0:0,2009-9-18 17:0:0,gps
漈凫,11.74,48.20983,WGS_84,2009-9-18 18:0:0,2009-9-18 18:0:0,gps
漈凫,11.74317,48.211,WGS_84,2009-9-19 11:0:0,2009-9-19 11:0:0,gps
漈凫,11.74483,48.21033,WGS_84,2009-9-19 17:0:0,2009-9-19 17:0:0,gps
漈凫,11.7455,48.21017,WGS_84,2009-9-19 18:0:0,2009-9-19 18:0:0,gps
漈凫,11.743,48.2115,WGS_84,2009-9-20 5:0:0,2009-9-20 5:0:0,gps
漈凫,11.74867,48.21217,WGS_84,2009-9-20 6:0:0,2009-9-20 6:0:0,gps
漈凫,11.74683,48.212,WGS_84,2009-9-20 11:0:0,2009-9-20 11:0:0,gps
漈凫,11.7455,48.20967,WGS_84,2009-9-20 13:0:0,2009-9-20 13:0:0,gps
漈凫,11.74517,48.21033,WGS_84,2009-9-20 17:0:0,2009-9-20 17:0:0,gps
漈凫,11.74583,48.21,WGS_84,2009-9-20 18:0:0,2009-9-20 18:0:0,gps
漈凫,11.7445,48.21067,WGS_84,2009-9-21 5:0:0,2009-9-21 5:0:0,gps
漈凫,11.74433,48.21117,WGS_84,2009-9-21 6:0:0,2009-9-21 6:0:0,gps
漈凫,11.74667,48.21083,WGS_84,2009-9-21 11:0:0,2009-9-21 11:0:0,gps
漈凫,11.746,48.21183,WGS_84,2009-9-21 17:0:0,2009-9-21 17:0:0,gps
漈凫,11.75383,48.21267,WGS_84,2009-9-21 18:0:0,2009-9-21 18:0:0,gps
漈凫,11.745,48.20983,WGS_84,2009-9-22 11:0:0,2009-9-22 11:0:0,gps
漈凫,11.74533,48.20967,WGS_84,2009-9-22 13:0:0,2009-9-22 13:0:0,gps
漈凫,11.74583,48.20967,WGS_84,2009-9-22 17:0:0,2009-9-22 17:0:0,gps
漈凫,11.75067,48.2115,WGS_84,2009-9-22 18:0:0,2009-9-22 18:0:0,gps
漈凫,11.7455,48.20983,WGS_84,2009-9-23 11:0:0,2009-9-23 11:0:0,gps
漈凫,11.74467,48.21067,WGS_84,2009-9-23 13:0:0,2009-9-23 13:0:0,gps
漈凫,11.74667,48.212,WGS_84,2009-9-23 16:0:0,2009-9-23 16:0:0,gps
漈凫,11.7455,48.21033,WGS_84,2009-9-23 17:0:0,2009-9-23 17:0:0,gps
漈凫,11.72933,48.20833,WGS_84,2009-9-23 18:0:0,2009-9-23 18:0:0,gps
漈凫,11.74483,48.21033,WGS_84,2009-9-24 11:0:0,2009-9-24 11:0:0,gps
漈凫,11.74467,48.21033,WGS_84,2009-9-24 13:0:0,2009-9-24 13:0:0,gps
漈凫,11.74483,48.21083,WGS_84,2009-9-24 16:0:0,2009-9-24 16:0:0,gps
漈凫,11.746,48.21167,WGS_84,2009-9-24 17:0:0,2009-9-24 17:0:0,gps
漈凫,11.7465,48.211,WGS_84,2009-9-24 18:0:0,2009-9-24 18:0:0,gps
漈凫,11.74583,48.212,WGS_84,2009-9-25 11:0:0,2009-9-25 11:0:0,gps
漈凫,11.74667,48.21183,WGS_84,2009-9-25 13:0:0,2009-9-25 13:0:0,gps
漈凫,11.75367,48.21133,WGS_84,2009-9-25 18:0:0,2009-9-25 18:0:0,gps
漈凫,11.73967,48.21083,WGS_84,2009-9-26 5:0:0,2009-9-26 5:0:0,gps
漈凫,11.74533,48.21083,WGS_84,2009-9-26 11:0:0,2009-9-26 11:0:0,gps
漈凫,11.74533,48.2095,WGS_84,2009-9-26 17:0:0,2009-9-26 17:0:0,gps
漈凫,11.75083,48.2115,WGS_84,2009-9-26 18:0:0,2009-9-26 18:0:0,gps
