测试环境,版本,类型,对象,标题,步骤,状态,修改时间,描述
win,MyBox v6.8.1,功能,数据处理,描述性统计,"1. 选择数据源
2. 应用行过滤
3. 选择列
4. 设置各种列值，尤其是行表达式",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,分组统计,"1. 选择数据源
2. 应用行过滤
3. 设置选项
4. 设置输出格式",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,简单线性回归,"1. 选择数据源
2. 应用行过滤
3. 设置选项
4. 设置输出格式",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,简单线性回归-组合,"1. 选择数据源
2. 应用行过滤
3. 设置选项
4. 设置输出格式",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,多重线性回归,"1. 选择数据源
2. 应用行过滤
3. 设置选项
4. 设置输出格式",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,多重线性回归-组合,"1. 选择数据源
2. 应用行过滤
3. 设置选项
4. 设置输出格式",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,频数分布,"1. 选择数据源
2. 应用行过滤
3. 设置选项
4. 设置输出格式",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,数值百分比,"1. 选择数据源
2. 应用行过滤
3. 设置选项
4. 设置输出格式",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,XY图,"1. 选择数据源
2. 应用行过滤
3. 设置数据选项
4. 选择图类型
5. 设置图参数",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,饼图,"1. 选择数据源
2. 应用行过滤
3. 设置数据选项
4. 设置图参数",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,箱线图,"1. 选择数据源
2. 应用行过滤
3. 设置数据选项
4. 设置图参数",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,自比较条图,"1. 选择数据源
2. 应用行过滤
3. 设置数据选项
4. 设置图参数",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,相比较条图,"1. 选择数据源
2. 应用行过滤
3. 设置数据选项
4. 设置图参数",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,XYZ图,"1. 选择数据源
2. 应用行过滤
3. 设置数据选项
4. 设置图参数",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,位置分布,"1. 选择数据源
2. 应用行过滤
3. 设置数据选项
4. 设置地图参数
5. 设置图参数",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,分组数据-XY图,"1. 选择数据源
2. 应用行过滤
3. 设置数据选项
4. 设置分组参数
5. 设置图参数",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,分组数据-饼图,"1. 选择数据源
2. 应用行过滤
3. 设置数据选项
4. 设置分组参数
5. 设置图参数",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,分组数据-箱线图,"1. 选择数据源
2. 应用行过滤
3. 设置数据选项
4. 设置分组参数
5. 设置图参数",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,分组数据-自比较条图,"1. 选择数据源
2. 应用行过滤
3. 设置数据选项
4. 设置分组参数
5. 设置图参数",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,分组数据-相比较条图,"1. 选择数据源
2. 应用行过滤
3. 设置数据选项
4. 设置分组参数
5. 设置图参数",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,检验当前页,"1. 有非法值
2. 无非法值",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,检验所有数据,"1. 有非法值
2. 无非法值",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,选项：编辑时检验非法值,"1. 有非法值
2. 无非法值
3. 源数据为矩阵或数据库表时，此选项不显示也不生效",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,选项：保存时检验非法值,"1. 有非法值
2. 无非法值
3. 源数据为矩阵或数据库表时，此选项不显示也不生效",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,显示数据定义,CTRL+i,通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,弹出页数据的网页,选项：表窗、标题、列名、行名,通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,弹出页数据的文本,选项：表窗、标题、列名、行名,通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,导出数据,"1. 选择数据源
2. 选择数据列
3. 应用行过滤
4. 设置目标格式（多选），设置参数
5. 设置目标文件",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,"选项：临时数据文件写在目录""generated""下",,通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,选项：关闭时提示临时文件,"1. 选择数据源
2. 应用行过滤
3. 选择列
4. 设置各种列值，尤其是行表达式",通过,2024-5-18,
win,MyBox v6.8.1,功能,整理文件,,"1. 存在的源目录
2. 各种选项
3. 存在的或不存在的目标目录",通过,2024-5-18,
win,MyBox v6.8.1,非法,整理文件,,"1. 空白或不存在的源目录
2. 错误的选项
3. 空白的目标目录",通过,2024-5-18,
win,MyBox v6.8.1,功能,同步目录,,"1. 存在的源目录
2. 各种选项
3. 存在的或不存在的目标目录",通过,2024-5-18,
win,MyBox v6.8.1,非法,同步目录,,"1. 空白或不存在的源目录
2. 错误的选项
3. 空白的目标目录",通过,2024-5-18,
win,MyBox v6.8.1,功能,解压/解档文件,,,通过,2024-5-18,
win,MyBox v6.8.1,功能,解压/解档文件-批量,,,通过,2024-5-18,
win,MyBox v6.8.1,功能,重命名文件,,各种选项,通过,2024-5-18,
win,MyBox v6.8.1,非法,重命名文件,,目标文件名已存在,通过,2024-5-18,
